	100_control_glom	110_control_glom	119_control_glom	123_control_glom	150_control_glom	154_control_glom	33_control_glom	34_control_glom	76_control_glom	77_control_glom	81_control_glom	82_control_glom	83_control_glom	151_DKD_glom	158_DKD_glom	164_DKD_glom	168_DKD_glom	178_DKD_glom	40_DKD_glom	48_DKD_glom	62_DKD_glom	67_DKD_glom
MOBKL2B 	1.02247	0.97797	0.34224	1.06768	1.03555	0.90679	0.78377	0.85711	0.58245	1.00038	0.73378	0.74542	0.97514	1.24724	1.47934	1.28917	1.15478	1.24598	1.02747	1.256	1.59109	1.5983
PCOLCE 	-0.61605	0.01993	-0.57722	-0.59382	-0.56207	-0.49904	-0.47715	-0.32739	-0.54569	-0.4958	-0.56525	-0.33833	-0.1717	0.63825	0.21177	0.47672	-0.08527	0.50654	0.67876	-0.26858	0.30187	0.58609
BAK1 	-0.53267	-0.433	-0.43903	-0.01335	-0.18494	-0.25824	-0.39926	-0.63178	-0.45013	-0.58108	-0.34962	-0.50243	-0.40477	0.04776	0.22439	0.4058	0.02186	0.26838	-0.2813	0.02117	0.25875	-0.11191
SMPD2 	-0.62953	-0.28562	-0.36516	0.12496	-0.53018	-0.41044	-0.34296	-0.16331	-0.61401	-0.56856	-0.37423	-0.33288	-0.64904	-0.12632	0.39212	0.74037	-0.01604	0.36285	0.23557	0.36786	-0.02368	0.61592
ARHGAP4 	-0.60387	-0.64263	-0.79443	-0.37134	-0.51729	-0.48589	-0.75453	-0.32235	-0.86389	-0.79295	-0.74572	-0.85105	-0.80121	-0.24701	-0.32458	-0.46399	-0.06004	0.04183	-0.4966	-0.09323	-0.23635	-0.00342
FAHD2A 	-1.52657	-1.6817	-1.74405	-1.71686	-1.76056	-1.55241	-1.78823	-1.61974	-1.72277	-1.54616	-1.76651	-1.73405	-1.72261	-1.54472	-1.3193	-1.53933	-1.53198	-1.57816	-1.45955	-1.4587	-1.5392	-1.41321
HDAC11 	0.37951	0.19079	-0.22484	0.5718	0.41062	0.33021	0.45082	0.22037	0.17877	0.31925	0.02361	0.27575	0.2552	0.41056	0.9931	0.67365	0.60469	0.83504	0.625	0.77539	0.48998	0.71671
BZW2 	1.36415	0.9161	0.63938	1.47407	0.91583	1.25078	1.57004	1.95274	1.45837	0.94738	1.45673	1.48172	1.76053	1.92324	1.55325	2.27548	2.05771	2.46566	2.54737	2.39331	3.13024	2.23992
ZZEF1 	-1.62256	-1.47219	-1.64232	-1.60585	-1.56232	-1.84349	-1.69891	-1.65133	-1.54178	-1.75941	-1.79879	-1.33656	-1.72447	-1.2961	-1.30696	-1.51511	-1.46856	-1.39942	-1.48574	-1.16809	-1.20909	-1.2677
CYTH4 	0.18582	0.26901	-0.03455	0.0481	0.17317	-0.36261	-0.20927	-0.34605	-0.15022	-0.06465	-0.04851	-0.06834	-0.02971	0.4826	0.41998	0.95493	1.06269	0.45926	0.80628	0.56289	0.92189	1.64506
HN1 	-0.10458	-0.14644	-0.16838	0.287	-0.17168	0.13146	-0.61055	0.39517	-0.79537	-0.65742	-0.54558	-0.23578	-0.6358	0.88389	0.28608	0.46777	0.37995	1.14358	0.64898	0.07791	0.95421	0.20991
PPIF 	1.67974	1.24917	0.45823	1.5843	1.18295	1.25822	1.14941	1.74438	0.59048	0.61131	0.52547	0.9594	1.26627	1.92121	2.28004	2.82255	2.2105	1.79155	2.28293	1.65302	1.75225	1.44949
SERPINE2 	3.25802	3.10587	2.47931	2.20808	3.22431	2.85475	2.66429	3.14572	3.04868	2.23342	2.19726	3.2742	3.47431	4.28376	4.18209	6.00659	5.16177	4.30415	5.17636	3.71522	5.22564	3.47146
TPSAB1 	-1.07453	-1.02717	-1.54392	-0.46984	-0.97972	-1.11354	-1.31211	-1.20935	-0.99152	-0.77895	-1.1655	-0.85524	-1.10094	-0.69993	-0.53805	-0.02546	-0.7257	-0.80291	-0.54856	-0.51288	-0.565	-0.46265
IGFBP3 	2.59551	3.0432	1.64818	3.06823	2.20233	2.81462	1.79454	2.04472	1.94774	1.29767	1.84808	2.37359	3.22166	2.74168	2.92164	3.11087	3.70136	3.56754	3.56208	3.14151	3.18106	3.83645
SAT1 	6.55349	5.67857	5.48462	6.21395	5.99289	6.16076	6.1965	6.28396	6.1947	6.26067	6.04005	6.03789	5.97517	6.45297	6.31461	6.64904	6.70747	6.62086	6.31322	6.63376	6.62281	6.39198
BIK 	-0.42718	0.10806	-0.03617	-0.15518	-0.18192	0.13954	0.10818	0.15394	-0.21589	-0.27588	-0.20311	-0.41498	-0.01337	0.56056	0.25071	0.37634	0.39213	0.50919	0.33134	0.59023	0.35071	-0.15031
OLFML3 	-0.74976	-0.44315	-0.4877	-1.04987	-0.70884	-0.35811	0.12703	0.47305	-0.25483	-0.7064	-0.31496	0.17287	-0.34768	0.73005	1.3103	0.9278	0.83004	1.09903	1.12654	0.12805	-0.31806	0.61604
SLC19A1 	-0.9798	-0.41771	-0.70501	-0.4854	-0.4559	-0.56493	-0.70324	-0.65513	-0.69472	-0.5403	-0.71046	-0.51529	-0.26709	0.06271	0.23164	0.01184	-0.48228	-0.03374	-0.48568	-0.08728	-0.00794	0.14421
C1QB 	-1.4407	-0.31288	0.22074	-1.00599	-0.97875	-1.13156	-1.22906	0.12212	-1.39053	-1.5267	-1.37686	-1.5076	-1.45041	1.35722	0.47664	1.52899	1.39335	1.78897	2.44525	-1.07445	1.64761	0.50821
CEBPA 	-0.73858	-0.47367	-0.92908	-0.26689	-0.68107	-0.39107	-0.56243	-0.8035	-0.49265	-0.31173	-0.46782	-0.47986	-0.61915	-0.06476	0.06884	0.77205	0.24826	-0.3171	0.37881	-0.21242	0.23864	0.02715
AIM1 	2.39676	2.23888	2.02659	1.88182	2.71452	2.45266	2.52736	2.70646	2.3266	2.33179	2.45213	2.50111	1.7393	2.88136	3.37299	3.1222	2.82706	2.65309	2.82824	2.74403	2.98062	3.6594
TMEM158 	-0.63035	-0.6457	-1.17617	-0.86269	-0.86532	-0.98085	-1.01708	-0.84833	-1.13977	-0.96676	-1.06745	-0.49259	-0.54591	-0.4337	-0.46529	-0.17376	0.29137	-0.1269	-0.21734	-0.55905	0.38911	-0.3968
C7 	3.15487	2.89039	3.47143	1.1556	2.48245	1.88144	3.33829	3.90489	3.16208	0.69967	3.56674	3.74516	3.10732	4.65629	5.45344	5.72082	5.85496	4.86278	5.06872	2.78491	4.43181	4.33946
MDK 	-1.50164	-0.74737	-1.32733	-0.90328	-0.99595	-0.92038	-1.15699	-1.23569	-1.54263	-1.11665	-1.3686	-1.36378	-1.36927	-0.47954	-0.99096	-0.8136	-0.90028	-0.45615	-0.51237	-0.94007	-0.22529	-0.48719
RNASE6 	-0.0935	0.45133	0.5257	0.05947	0.21724	-0.18414	-0.27162	0.63482	-0.07444	-0.29197	0.2345	0.04164	0.06669	1.26036	0.1818	1.47497	1.64685	1.49161	2.12052	0.88162	1.63208	2.4577
LAMA2 	-1.32567	-1.27889	-1.34819	-1.64674	-1.40549	-1.46579	-1.26437	-1.23259	-1.20347	-1.17233	-1.32884	-0.82221	-1.00781	-0.94382	-0.99857	-0.76926	-0.91019	-0.96652	-0.94486	-1.17082	-0.70693	-0.57424
RPSAP44 	-0.12126	-0.0588	-0.25202	-0.02432	9.10E-04	-0.27861	-0.04294	-0.08005	-0.17698	-0.34435	-0.12126	-0.12407	0.04667	0.29672	0.23546	0.08543	0.33783	0.42043	0.13672	0.01011	0.32943	0.68346
RPL10P10 	-0.12126	-0.0588	-0.25202	-0.02432	9.10E-04	-0.27861	-0.04294	-0.08005	-0.17698	-0.34435	-0.12126	-0.12407	0.04667	0.29672	0.23546	0.08543	0.33783	0.42043	0.13672	0.01011	0.32943	0.68346
MFAP4 	-1.04964	-0.69468	-0.57964	-0.57393	-0.74363	-0.9203	-0.5947	-0.6083	-0.6634	-0.49448	-0.78399	-0.46473	-0.4359	-0.22837	0.11824	-0.30004	0.12604	-0.19975	-0.02542	-0.42554	-0.28004	-0.55991
CD24 	2.19945	2.46828	1.7116	3.26647	2.47781	2.53774	2.09493	3.63429	1.78463	1.32205	1.50608	2.06147	2.06939	4.0108	3.08248	3.80908	3.63603	4.04088	3.87296	2.54488	3.80416	2.62058
EIF5A 	1.96158	1.71286	1.90947	2.41963	1.66765	1.89282	2.19751	2.63693	2.43294	2.20534	1.93215	2.02078	1.95897	2.80163	3.02234	2.27918	2.51155	2.47078	2.45635	2.97351	2.72119	2.41197
THAP3 	-0.50119	-0.60995	-0.82142	-0.34308	-0.18375	-0.42613	-0.62035	-0.01689	-0.62525	-0.6965	-0.60712	-0.5357	-0.20145	-0.05123	0.11426	-0.09788	-0.27519	-0.08138	-0.13991	0.35133	-0.18594	-0.2005
TYMP 	-0.47049	0.61455	0.35567	0.46808	0.47719	0.1835	0.41519	0.39365	-0.02699	0.10807	0.13593	0.17876	0.28744	0.69034	0.58253	1.52308	1.02858	0.82147	1.1706	0.36878	0.99249	1.13797
ADRA2A 	-2.00329	-1.61974	-1.79693	-1.57083	-1.7438	-1.69355	-1.42616	-1.76072	-1.90391	-1.66673	-2.05001	-1.5588	-1.54606	-1.11429	-1.31675	0.03545	-0.32502	-0.55365	-0.31618	-1.23833	-1.11405	-0.27554
HMGA1 	0.08017	0.46947	0.09379	0.50865	0.03526	0.20658	0.53253	1.19252	0.29166	0.2393	0.39428	0.47178	0.34629	1.00821	0.55559	1.19188	0.76184	0.82744	0.89076	1.13132	0.92737	1.63193
TESC 	-0.47276	-0.29576	-0.84567	-0.18613	-0.47312	-0.473	-0.8038	0.09097	-0.45191	-0.87381	-0.83156	-0.48198	-0.38592	0.03823	-0.18536	0.22124	-0.3213	0.36925	0.5393	0.69409	0.96603	0.4964
RPL37A 	1.07734	-0.10392	0.29815	0.40489	-0.70299	-0.49303	-0.0673	0.09115	0.02923	0.12004	-0.20695	0.02385	0.07301	0.77017	1.38044	1.91324	2.13468	1.72762	0.50308	1.57583	0.44218	0.86995
GYPC 	-0.87387	-0.37027	-0.18502	0.42785	-0.22902	-0.2161	-0.0785	0.03412	-0.48251	-0.05017	0.00829	-0.21936	0.04789	0.48545	0.19635	0.13775	0.04018	0.62674	0.07959	0.49918	0.50801	0.61236
EEF1D 	0.79961	-0.24034	-0.12075	-0.08218	-0.93997	-0.10052	-0.14133	-0.27287	-0.45988	0.20615	0.27892	-0.39126	0.23178	0.69482	1.52933	1.16252	1.49399	0.02549	0.6703	2.09249	1.47128	0.72115
NNMT 	0.35535	1.18525	2.07529	2.03042	0.38705	0.35951	2.25864	3.53722	1.81527	1.46086	0.65342	2.56026	0.75505	5.04854	1.46843	4.65477	4.13132	3.94782	5.84285	2.83967	6.34617	4.3636
CLEC10A 	-0.71835	-0.37334	-1.24966	-0.75441	-0.95207	-0.7865	-1.22276	-0.97982	-1.1642	-1.24552	-0.88094	-0.75004	-0.73564	0.30564	-0.49357	0.3266	-0.19106	0.46261	-0.41988	-0.38116	1.1452	0.50618
SPAG4 	-0.91346	-0.91593	-0.1895	-0.93629	-0.89696	-0.67767	-0.96648	-0.72544	-0.89343	-1.01516	-1.14207	-0.92878	-0.78223	-0.15353	-0.54422	-0.27228	-0.10553	-0.31309	-0.57571	-0.65931	-0.36402	-0.69857
ALPI 	-1.97741	-2.45697	-1.91019	-1.76619	-1.75431	-1.78281	-1.84341	-1.74393	-2.00862	-1.94124	-1.92686	-2.01164	-1.84562	-1.53182	-1.44639	-1.83691	-1.64862	-1.64057	-1.78299	-1.4098	-1.6449	-1.40384
RFXAP 	-1.84602	-1.48058	-1.60222	-1.44003	-1.63344	-1.53262	-1.53327	-1.69204	-1.78555	-1.50331	-1.64925	-1.69039	-1.47987	-1.6049	-1.27431	-1.3987	-1.3077	-1.32471	-1.49651	-1.21955	-1.3851	-1.29718
NDUFB7 	-2.1312	-2.27463	-2.18486	-1.74578	-2.08223	-1.84677	-2.13429	-2.03572	-1.81216	-2.16198	-2.16372	-1.94519	-2.02091	-1.48995	-1.59876	-1.89871	-1.57097	-1.15217	-1.84958	-1.55068	-1.771	-1.70617
SERP1 	5.33877	5.30059	5.39352	5.47855	5.12709	5.44366	4.97336	5.28475	4.92577	4.9649	5.03413	5.2165	5.00506	5.49141	5.51826	5.38682	5.49781	5.37738	5.65961	5.47448	5.95794	5.81735
SERPINA3 	-1.31035	-0.57529	-1.28591	0.44605	-1.11303	-1.17302	-1.21176	-0.628	-1.28521	-1.07912	-1.3484	0.65125	-1.02068	1.6065	0.2415	2.22992	-0.35754	1.55576	3.01233	0.11537	1.66517	3.0043
TNFSF13 	-0.28042	-0.10853	-0.53507	-0.10169	-0.34412	-0.57775	-0.30066	-0.06427	-0.15647	-0.67522	-0.45361	-0.46322	-0.39854	-0.40305	0.27001	0.53546	0.58585	0.1184	0.3023	0.07446	0.0435	0.32517
HLA-DPA1 	-0.02359	-1.17592	-0.43041	-0.71722	-1.06516	-0.17643	-0.73799	-0.16419	-1.96347	-1.75398	-0.56935	-1.91418	-0.88165	-0.17902	0.02689	1.32176	0.78183	0.41788	0.90421	-0.45851	0.69118	-0.40893
CYP2W1 	-1.31572	-0.80969	-1.12733	-0.63173	-0.80303	-0.83343	-1.26183	-0.96048	-0.91281	-1.12415	-1.10225	-1.28354	-0.95835	-0.74492	-0.23934	-0.75156	-0.55877	-0.79642	-0.82961	-0.6868	-0.55266	-0.61584
ABCA1 	-1.82428	-1.8009	-2.04869	-1.85239	-1.77576	-1.82345	-1.84334	-2.12842	-1.82121	-1.78955	-1.78713	-1.69734	-1.99317	-1.59989	-1.58486	-1.55036	-1.68009	-1.6115	-1.75551	-1.48222	-1.16178	-1.5443
UBE2O 	-0.12218	-0.52162	-0.22572	-0.05739	-0.25938	-0.33561	-0.21919	-0.36392	-0.83152	-0.19	-0.42806	-0.45018	-0.49046	0.10846	0.1667	0.12317	0.14245	0.02871	0.51248	-0.03835	-0.19983	-0.21407
C1orf77 	-0.74434	-1.04918	-0.57781	-0.46961	-0.89382	-0.48486	-0.57177	-0.65384	-1.05074	-0.73283	-0.45235	-0.74801	-0.59305	-0.54741	-0.19181	-0.24678	-0.28973	-0.38059	-0.58387	0.09987	-0.27528	0.00593
ARSD 	-1.55309	-1.62026	-1.3475	-1.6108	-1.51034	-1.60515	-1.44017	-1.7859	-1.30781	-1.26751	-1.64994	-1.72401	-1.71432	-1.38489	-0.9699	-0.53214	-0.79639	-1.16878	-1.23044	-0.98436	-0.83419	-1.35207
NADK 	3.02426	2.94652	3.18428	3.06186	3.13752	3.02577	2.81921	3.16947	2.56915	2.78369	2.66399	2.70222	2.73016	4.0266	2.93064	3.14146	3.56732	3.67292	3.78512	4.08363	3.8978	3.53713
TES 	2.70824	2.2144	2.30967	2.06325	1.84265	2.12894	1.83	3.20094	2.73168	1.99727	2.59748	2.74129	2.31748	2.27422	2.94325	3.33019	3.1497	2.9867	3.62567	3.1269	3.66945	3.34909
SIX5 	-1.32033	-1.39652	-1.69969	-1.05903	-1.2721	-1.43626	-1.39626	-1.06617	-1.63942	-1.47439	-1.27465	-1.41069	-1.14098	-1.04291	-0.73685	-1.17528	-0.98261	-0.854	-1.05827	-1.15713	-0.44326	-0.73095
SCARB1 	-0.77206	-0.16452	-0.41592	0.15353	-0.48752	-0.19953	-0.29721	-0.15014	-0.37425	-0.34719	-0.42059	-0.43702	-0.22708	0.34819	0.14942	-0.0588	-0.11937	0.22802	0.6603	-0.15005	0.42421	0.10998
ST14 	1.29552	1.11311	0.40988	1.07545	1.39813	1.48109	1.18843	1.77757	1.02957	1.29635	0.75272	0.8281	1.21841	1.7268	2.44458	2.58365	2.60792	2.57839	2.39531	2.08876	1.56245	1.11416
VTCN1 	0.25617	1.24702	-1.1247	0.60277	0.00347	-0.16971	-0.24279	1.20752	-0.67423	-0.28103	-0.64679	0.07088	-0.34916	2.74374	0.44017	2.53947	2.05933	2.12314	1.19281	0.71087	0.77933	2.90609
CDCP1 	-1.06771	-0.79227	-1.02945	-0.88495	-1.15657	-0.8736	-0.75219	-0.45626	-0.94893	-1.40161	-0.89372	-0.7961	-0.92528	-0.27476	-0.3932	0.34556	-0.50378	0.69147	-0.24177	-0.42516	0.87826	0.44314
MAPK13 	0.1676	0.10085	0.05206	0.3975	0.23779	0.36112	0.32449	0.18109	0.52259	0.42703	0.51242	-0.045	0.69713	0.61804	0.96214	0.91513	0.27413	1.30614	1.08639	1.15842	1.62015	1.3126
FMOD 	-0.00468	0.28007	-0.03422	0.05529	0.11706	0.29424	0.19912	0.44833	0.07645	0.45702	0.17203	0.40515	0.43529	0.90032	0.89252	1.37156	0.41758	0.50953	1.29249	0.56729	1.36791	0.7587
CAPN1 	-0.15308	0.59139	0.70586	0.99911	0.68197	0.6243	0.76842	0.84807	0.41654	0.5415	0.21058	0.51843	0.62802	0.72769	1.69416	1.28506	1.57351	1.12488	1.3687	0.62591	1.34793	1.1192
CD36 	-1.58372	-1.03892	-1.05277	-1.75942	-1.67324	-1.91652	-1.8506	-1.66416	-1.80624	-1.61273	-1.54422	-1.63139	-1.98049	-1.3372	-1.11208	-0.61575	-0.96989	-1.13345	-0.61228	-0.50698	0.37033	-0.60408
TPSB2 	-1.54339	-1.19752	-1.38461	-1.39273	-1.16877	-1.45751	-1.08045	-1.30594	-1.19266	-1.34118	-1.46663	-1.11665	-1.39915	-0.82062	-0.94373	-0.40822	-0.99926	-1.05883	-0.82235	-0.78737	-1.29567	-0.73528
PNO1 	1.24375	1.93176	1.54047	1.91078	1.15332	1.60223	1.71229	1.49399	1.91453	1.97896	1.97017	2.07378	2.10718	2.22449	2.00943	2.44666	2.44161	2.14457	1.8524	2.58323	2.52455	2.9497
RBBP4 	0.15314	0.00633	0.32455	0.07358	-0.1235	-0.32279	0.4198	0.42663	-0.00994	0.322	0.18061	-0.05883	0.38217	0.51233	0.27115	0.94116	0.65074	0.81465	0.38061	0.27888	0.67087	0.61521
TMEM63A 	1.08984	1.36013	0.96119	1.26343	1.37846	1.41358	0.93174	1.13241	0.9347	1.05273	0.97204	0.82042	1.20559	1.96718	2.29228	1.42215	1.26348	1.56675	1.54826	1.72375	1.58942	1.56388
LIG1 	-0.51099	-0.69482	-0.97127	0.00862	-0.49923	-0.36226	-0.00826	-0.25761	-0.399	-0.40012	-0.48878	-0.72966	-0.05934	-0.02444	0.06485	0.54127	0.19466	0.17467	-0.18883	0.10184	-0.34819	0.36794
ADAM8 	-0.06531	0.46636	-0.11733	-0.10426	0.05313	-0.25722	-0.33334	-0.15014	-0.28099	-0.41087	-0.25514	-0.61923	-0.11109	0.26873	-0.04523	0.27685	0.67703	0.0659	0.40093	0.47719	0.71774	1.02369
TYROBP 	-0.14092	2.12489	1.96697	1.61397	0.74619	0.74918	0.59725	1.28776	0.1592	-0.08728	0.20849	0.47178	0.20785	2.42792	0.50394	1.77799	1.87825	2.71258	2.91192	1.88435	2.90667	2.60251
TTC39A 	-0.43812	-0.85993	-0.59396	-0.56234	0.2453	-0.27773	-0.86107	0.31429	-0.00415	-0.64447	-0.88019	-0.49448	-0.52083	1.14287	0.8439	0.99388	0.99393	0.05767	0.9985	-0.00533	0.33669	-0.393
PLCB3 	-0.51237	-0.56782	-0.37293	-0.18124	-0.26119	-0.41498	-0.16267	-0.29194	-0.4456	-0.13576	-0.29401	-0.03688	-0.18408	0.20878	0.11508	-0.27228	-0.21518	-0.01306	0.07104	0.35719	0.06227	0.17098
LUM 	1.79284	2.54958	1.72149	1.55885	0.88338	0.96784	1.54571	3.20461	1.39438	-1.16367	1.59044	1.66756	1.63471	4.20151	2.86836	5.27207	5.10366	3.8192	4.64581	0.76803	4.6418	3.89007
LCK 	-1.17525	-0.86745	-0.26933	-1.33342	-1.35366	-1.37216	-1.61069	-1.39709	-1.42523	-1.17827	-1.72283	-1.56056	-1.55906	-0.43532	-0.75362	0.89605	0.85247	-0.35777	0.50569	-0.47202	0.91741	2.11934
CD163 	-0.5054	0.34625	0.29563	-0.4487	-0.2749	-0.80868	-0.60704	0.63181	-0.27773	0.26298	0.38395	0.05478	-0.40505	1.80798	0.3242	2.68658	1.88526	1.50796	2.6513	0.41911	3.85265	1.6104
FLNB 	0.53192	0.7572	0.57567	0.58805	0.59534	0.55879	0.39977	0.81803	0.02711	0.31348	0.39369	0.43485	0.45058	1.02973	1.04664	0.80261	0.86049	1.11532	1.2629	0.55806	1.19596	0.58922
NMU 	-1.14453	-1.88291	-1.84839	-1.8647	-1.42808	-1.35135	-1.86979	-1.74877	-1.72412	-1.60021	-1.67587	-1.73405	-1.59737	-1.14191	-1.48195	-1.23445	-1.36682	-0.40311	-1.07312	-0.65883	-0.95176	-0.44487
RPSA 	6.23722	7.35441	7.12994	7.13357	6.73396	6.69631	6.97457	6.95651	6.58998	6.79328	6.66828	6.71934	7.09932	7.15807	6.9159	7.28681	7.38735	7.37752	7.40488	7.07891	7.361	7.40962
ATP6V0E1 	1.875	1.01884	1.3806	1.30103	0.4002	1.18472	0.18006	-0.81529	0.48511	0.98433	0.58751	0.16411	0.78535	1.68594	1.12273	1.84194	2.18508	2.40265	0.98671	2.54405	2.09721	1.47457
SMARCD2 	1.34327	0.90896	0.68533	1.36334	0.95238	0.66269	1.00771	1.03258	1.29364	1.13046	1.12065	0.88869	1.04679	1.51152	1.5587	1.64323	1.50024	1.00012	1.62955	1.22217	1.42028	1.88868
CENPM 	-1.42433	-1.0984	-1.16262	-0.39456	-1.38341	-0.97246	-1.47812	-1.06274	-0.89572	-1.34865	-1.36376	-1.03828	-0.79033	-0.40642	-0.8766	-0.29052	-0.86232	-0.68671	-0.88937	-0.59039	-0.15109	-0.08865
OTUB2 	-1.56942	-1.17148	-1.3287	-1.11872	-1.29412	-1.42452	-1.66203	-1.50399	-1.29516	-1.2072	-1.32675	-1.44753	-1.46323	-0.97111	-1.09393	-1.10069	-1.39447	-1.00088	-1.05392	-1.00632	-1.10366	-1.25729
C9orf7 	2.36386	2.69447	2.41863	2.63734	2.73862	2.56714	2.97605	2.77692	2.70174	2.81785	2.78123	2.69952	2.74816	3.13991	3.33736	3.05469	3.07229	3.17163	3.42339	2.84291	3.11439	2.65216
CCDC93 	-0.13441	-0.5601	-0.68298	-0.357	-0.24225	-0.06355	-0.63644	-0.57843	-0.20169	-0.4608	-0.45531	-0.49299	-0.19444	0.17932	-0.0659	-0.07117	-0.33991	0.00568	-0.19751	-0.0762	0.05982	-0.19864
MBOAT7 	0.93571	1.5406	1.98431	1.56382	1.51471	1.41985	1.42246	1.22066	1.17514	1.22491	0.84673	0.82649	0.85512	2.25189	2.42117	2.25988	1.70266	2.00145	2.23069	1.65634	1.53096	1.38685
ICAM3 	1.51599	1.8166	1.73151	2.37889	1.57731	1.75066	1.82297	2.14906	1.83774	1.73014	1.50711	1.24976	1.33504	1.75007	2.24925	2.12787	2.61367	2.58973	3.06559	2.9094	2.71604	3.48374
VSIG4 	-0.25583	0.12948	0.53769	-0.70881	-0.63188	-0.7955	-0.65355	0.06713	-0.92742	-0.5281	-0.65033	-0.27718	-0.37788	1.69914	0.35029	1.21572	0.94329	1.27723	1.383	0.46203	3.23734	0.18091
PSTPIP1 	-1.92142	-1.93217	-1.70455	-1.77372	-1.84108	-1.7463	-1.86171	-1.92708	-1.99552	-1.80544	-2.32429	-1.82884	-1.89772	-1.55021	-1.5843	-1.34929	-1.31852	-1.59343	-1.84257	-1.85586	-1.50073	-1.49598
