"Ju CKD"
"Over-expression in Diabetic Nephropathy vs. Healthy Living Donor"
"Gene Rank","Gene Name","Gene Symbol","Reporter ID","t-Test","P-value","Q-value","Fold Change"
"23","interleukin 2 receptor, beta","IL2RB","3560","8.145031","4.901294474244258E-8","3.7349994891338744E-5","1.5000391"
"24","carbonyl reductase 3","CBR3","874","8.539815","5.6668437536218554E-8","4.138448769572094E-5","1.9516953"
"25","protein tyrosine phosphatase, receptor type, C","PTPRC","5788","7.947749","5.878847133711128E-8","4.121542148502198E-5","2.6593132"
"26","RNA binding motif protein 5","RBM5","10181","7.2221336","6.311324635850258E-8","4.254561034328749E-5","1.3635544"
"27","mesencephalic astrocyte-derived neurotrophic factor","MANF","7873","7.909375","7.974801399161617E-8","5.176827560115024E-5","1.6077234"
"28","annexin A6","ANXA6","309","7.0281944","8.576787505805807E-8","5.368762664794942E-5","1.5521044"
"29","CD48 molecule","CD48","962","8.339033","9.574461616458878E-8","5.7866065086784396E-5","3.9406192"
"30","tumor necrosis factor","TNF","7124","7.846669","1.0186528033918912E-7","5.951309228349892E-5","1.4161751"
"31","low density lipoprotein receptor adaptor protein 1","LDLRAP1","26119","6.9328346","1.0245485507212385E-7","5.792665305964887E-5","1.2600033"
"32","hemopoietic cell kinase","HCK","3055","7.958026","1.1142899359496163E-7","6.103174908559039E-5","3.5299585"
"33","myocyte enhancer factor 2C","MEF2C","4208","6.9579444","1.1182891424440725E-7","5.939470848368866E-5","1.5689344"
"34","family with sequence similarity 189, member A2","FAM189A2","9413","7.2743583","1.1249126577717144E-7","5.798924750813187E-5","1.5828766"
"35","PDZ and LIM domain 1","PDLIM1","9124","7.488645","1.1837913892035916E-7","5.9280890510203854E-5","1.6118193"
"36","tripartite motif-containing 38","TRIM38","10475","7.595303","1.3028037279959566E-7","6.342844705718092E-5","1.4506971"
"37","leukocyte specific transcript 1","LST1","7940","8.047077","1.3099019218864397E-7","6.205040806730711E-5","2.486058"
"38","SH2B adaptor protein 3","SH2B3","10019","7.8397503","1.318455281042078E-7","6.081201502848553E-5","1.953159"
"39","placenta-specific 8","PLAC8","51316","8.239562","1.3472852834734748E-7","6.054838247035794E-5","3.5766466"
"40","G protein-coupled receptor 172A","GPR172A","79581","7.01632","1.3854097664042807E-7","6.0705192439419566E-5","1.3638613"
"41","interleukin 10 receptor, alpha","IL10RA","3587","8.474411","1.8096367814393957E-7","7.735976553241046E-5","3.708211"
"42","guanylate binding protein 2, interferon-inducible","GBP2","2634","7.8024573","2.0874559732336357E-7","8.711152581634745E-5","2.413575"
"43","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon","NFKBIE","4794","7.487621","2.1097960925719378E-7","8.599627003374036E-5","1.9864346"
"44","syntaxin 6","STX6","10228","6.6866755","2.127596166793153E-7","8.47508591258718E-5","1.2171878"
"45","inter-alpha (globulin) inhibitor H3","ITIH3","3699","7.529752","2.2644434657837998E-7","8.819755694398368E-5","2.3494236"
"46","serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)","SERPINH1","871","7.485436","2.290820441206265E-7","8.72852388543961E-5","1.9912492"
"47","twinfilin, actin-binding protein, homolog 2 (Drosophila)","TWF2","11344","7.5587626","2.40233306199084E-7","8.95865778244967E-5","1.3726575"
"48","protein kinase C, delta binding protein","PRKCDBP","112464","7.109996","2.4554383237902553E-7","8.96593072938996E-5","1.9356443"
"49","peptidylprolyl isomerase C (cyclophilin C)","PPIC","5480","7.2364655","2.517227618866216E-7","9.003969076707789E-5","1.6907296"
"50","Ras association (RalGDS/AF-6) domain family member 2","RASSF2","9770","7.190032","2.9991905484175266E-7","1.0513362548422798E-4","2.1238945"
"51","H2.0-like homeobox","HLX","3142","7.638582","3.01226503592216E-7","1.0352150840119156E-4","2.6410387"
"52","TYRO protein tyrosine kinase binding protein","TYROBP","7305","7.3982835","3.0971237781548047E-7","1.0439093934561396E-4","5.315558"
"53","cathepsin S","CTSS","1520","7.548782","3.296626407198687E-7","1.0901881328107808E-4","2.3457956"
"54","lipase A, lysosomal acid, cholesterol esterase","LIPA","3988","6.9610453","3.479065612034923E-7","1.129214499669187E-4","1.4504511"
"55","CD52 molecule","CD52","1043","8.52435","3.6018636077391625E-7","1.1478156991426236E-4","3.7614076"
"56","protein tyrosine phosphatase, non-receptor type 6","PTPN6","5777","7.2729917","4.184020098079349E-7","1.3095235760542277E-4","1.6772332"
"57","KH and NYN domain containing","KHNYN","23351","7.05432","4.514187699487798E-7","1.388073119454783E-4","1.2435944"
"58","coronin, actin binding protein, 1A","CORO1A","11151","6.797736","4.647471300221103E-7","1.4044177496375047E-4","2.1158912"
"59","damage-specific DNA binding protein 2, 48kDa","DDB2","1643","6.9395337","4.84928954825337E-7","1.4405677612243527E-4","1.5685136"
"60","polo-like kinase 2 (Drosophila)","PLK2","10769","6.8039618","5.474874156749215E-7","1.599301989089058E-4","2.8727744"
"61","tumor necrosis factor receptor superfamily, member 1B","TNFRSF1B","7133","7.565994","5.478421507023176E-7","1.5741031762884458E-4","2.421432"
"62","FXYD domain containing ion transport regulator 5","FXYD5","53827","8.272881","5.563334731811495E-7","1.5727188362009688E-4","2.146509"
"63","chondroitin polymerizing factor 2","CHPF2","54480","6.584411","5.788329310881548E-7","1.6103499655844588E-4","1.3687555"
"64","hemoglobin, alpha 2","HBA2","3040","6.1048126","5.827195549090334E-7","1.5958321310766607E-4","6.8987055"
"65","CD300a molecule","CD300A","11314","7.9696245","6.299491836638321E-7","1.698633744934767E-4","2.0527282"
"66","adrenergic, beta-2-, receptor, surface","ADRB2","154","8.311681","6.908339469515585E-7","1.8345828163969646E-4","2.095071"
"67","raftlin, lipid raft linker 1","RFTN1","23180","7.210826","7.745037302906232E-7","2.0260786389259333E-4","1.7258457"
"68","cystatin B (stefin B)","CSTB","1476","6.4065213","8.928380360915527E-7","2.301290038025977E-4","1.7032672"
"69","deoxythymidylate kinase (thymidylate kinase)","DTYMK","1841","6.618862","9.088334917637152E-7","2.308568784078643E-4","1.3205854"
"70","pleckstrin homology-like domain, family A, member 2","PHLDA2","7262","7.8936925","9.254634574783996E-7","2.3172282884605585E-4","4.9160004"
"71","erythrocyte membrane protein band 4.1-like 2","EPB41L2","2037","6.956479","9.503251543224072E-7","2.3459646450434975E-4","1.8424903"
"72","extracellular matrix protein 1","ECM1","1893","6.3709497","9.864289558603952E-7","2.4012694874118258E-4","4.753202"
"73","CD248 molecule, endosialin","CD248","57124","7.845797","1.0368649852271318E-6","2.48947021864054E-4","2.045164"
"74","CD53 molecule","CD53","963","7.0219693","1.04914621210989E-6","2.4849169810337897E-4","4.106844"
"75","ubiquitin family domain containing 1","UBFD1","56061","6.6092234","1.0894667568894109E-6","2.546011179733427E-4","1.4779611"
"76","chromosome 12 open reading frame 5","C12orf5","57103","6.9889755","1.109535209106047E-6","2.5587925802633796E-4","2.1310115"
"77","acyloxyacyl hydrolase (neutrophil)","AOAH","313","8.044957","1.1827604135446951E-6","2.692239190675048E-4","2.33314"
"78","PYD and CARD domain containing","PYCARD","29108","7.5621467","1.2357686432803994E-6","2.776835514201995E-4","3.6496437"
"79","tubulin, alpha 1c","TUBA1C","84790","6.545955","1.3124156773581483E-6","2.911735389500793E-4","1.3928562"
"80","granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)","GZMA","3001","7.4615006","1.5254040687666808E-6","3.341969639159202E-4","3.5078905"
"81","hematopoietic cell-specific Lyn substrate 1","HCLS1","3059","6.671899","1.612808509596794E-6","3.4898388577411126E-4","2.5459845"
"82","tumor protein p53 inducible protein 3","TP53I3","9540","6.5412517","1.6880459390802927E-6","3.6080952651536936E-4","1.5778341"
"83","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","RAC2","5880","7.052171","1.726357613265679E-6","3.645526492494886E-4","2.625143"
"84","ADAM metallopeptidase with thrombospondin type 1 motif, 1","ADAMTS1","9510","6.956813","1.8159848458516093E-6","3.789138856338233E-4","2.864044"
"85","NDC80 homolog, kinetochore complex component (S. cerevisiae)","NDC80","10403","6.943294","1.8232547854498367E-6","3.759551367597563E-4","1.8208495"
"86","egf-like module containing, mucin-like, hormone receptor-like 1","EMR1","2015","6.5283875","1.8504143224414056E-6","3.771187422026804E-4","1.5660161"
"87","tumor necrosis factor receptor superfamily, member 12A","TNFRSF12A","51330","5.855185","2.0973184534861848E-6","4.225252934971536E-4","2.636296"
"88","vascular endothelial growth factor C","VEGFC","7424","6.392926","2.1168265369205295E-6","4.216093035523423E-4","2.537701"
"89","linker for activation of T cells","LAT","27040","6.297661","2.1355474183697866E-6","4.205588719299691E-4","1.4310926"
"90","interferon, gamma-inducible protein 30","IFI30","10437","6.8223414","2.222954183722591E-6","4.3290797753450946E-4","2.5870333"
"91","CCAAT/enhancer binding protein (C/EBP), alpha","CEBPA","1050","7.142437","2.240397066977821E-6","4.315103229991239E-4","2.0642278"
"92","G protein-coupled receptor 124","GPR124","25960","6.518453","2.2540076714707567E-6","4.2941296149856474E-4","1.3838071"
"93","tubulin, beta 6","TUBB6","84617","6.6455","2.30385475288356E-6","4.34189916707421E-4","1.6338235"
"94","serine/threonine kinase 17a","STK17A","9263","7.117456","2.333998878036214E-6","4.3519147165256084E-4","1.8275063"
"95","ring finger protein 125","RNF125","54941","6.62175","2.4171497813482866E-6","4.459514128178044E-4","1.4701045"
"96","N-myc (and STAT) interactor","NMI","9111","6.532765","2.4271278977838044E-6","4.4312781942142435E-4","1.8655642"
"97","chromosome 19 open reading frame 10","C19orf10","56005","6.846216","2.4440358637884873E-6","4.416146039651631E-4","1.4089452"
"98","cystatin F (leukocystatin)","CST7","8530","6.5721774","2.6863950956770604E-6","4.804535392033861E-4","1.7339226"
"99","SHC (Src homology 2 domain containing) transforming protein 1","SHC1","6464","6.094613","2.716253886391255E-6","4.8088668552302553E-4","1.3315754"
"100","lysosomal protein transmembrane 5","LAPTM5","7805","6.75992","2.7529424559196905E-6","4.825082242490442E-4","3.256192"
"101","myeloid cell nuclear differentiation antigen","MNDA","4332","5.4678764","2.823683372195151E-6","4.900069154897466E-4","2.3889496"
"102","myeloid differentiation primary response gene (88)","MYD88","4615","6.7856283","2.8620216089233E-6","4.917907131333204E-4","1.5016158"
"103","chromosome 8 open reading frame 4","C8orf4","56892","6.5993223","2.870178457648877E-6","4.884040565748725E-4","2.652371"
"104","cysteine-rich protein 1 (intestinal)","CRIP1","1396","7.0011673","3.2019942597785533E-6","5.396283979917183E-4","2.873098"
"105","ATPase, Na+/K+ transporting, beta 3 polypeptide","ATP1B3","483","5.4991283","3.3092493050089638E-6","5.523925006561154E-4","1.3597202"
"106","tissue specific transplantation antigen P35B","TSTA3","7264","6.0453734","3.348985281633169E-6","5.537515568979674E-4","1.4459258"
"107","GATA binding protein 3","GATA3","2625","5.442","3.364828830976556E-6","5.51171541313328E-4","1.7944963"
"108","chromosome 11 open reading frame 75","C11orf75","56935","6.1057453","3.3779160363065294E-6","5.481919848920791E-4","1.5978501"
"109","homeobox C6","HOXC6","3223","5.699102","3.3794253575038908E-6","5.434053967061531E-4","1.596856"
"110","hemoglobin, beta","HBB","3043","5.406232","3.4122499745622197E-6","5.436955027650184E-4","6.7591047"
"111","synaptotagmin XI","SYT11","23208","6.850731","3.4935570322547544E-6","5.516358027417034E-4","2.001282"
"112","periostin, osteoblast specific factor","POSTN","10631","6.12609","3.5346982887740483E-6","5.531487223869888E-4","3.3241227"
"113","fibroblast growth factor (acidic) intracellular binding protein","FIBP","9158","6.1390142","3.538714291353354E-6","5.488765078278782E-4","1.2688731"
"114","RNA binding motif protein 28","RBM28","55131","6.6903963","3.641341298379179E-6","5.598402538306304E-4","1.5349376"
"115","interferon gamma receptor 2 (interferon gamma transducer 1)","IFNGR2","3460","6.233784","3.649311403226311E-6","5.561867909943265E-4","1.3844676"
"116","TIMP metallopeptidase inhibitor 1","TIMP1","7076","6.728813","3.721021008840364E-6","5.622270277753884E-4","1.9955348"
"117","S100 calcium binding protein A4","S100A4","6275","6.9531074","3.828815131015521E-6","5.735695965923849E-4","2.914518"
"118","cerebellar degeneration-related protein 2-like","CDR2L","30850","7.173805","3.8442862602453544E-6","5.71006824434918E-4","1.5972737"
"119","cytochrome b-245, beta polypeptide","CYBB","1536","7.254901","4.058361627649969E-6","5.977386911581598E-4","2.7666805"
"120","solute carrier family 7 (cationic amino acid transporter, y+ system), member 6","SLC7A6","9057","5.6952395","4.098824135120481E-6","5.986674218021389E-4","1.2122355"
"121","WAP four-disulfide core domain 1","WFDC1","58189","5.6101365","4.141887005380387E-6","5.999574673000169E-4","1.9957218"
"122","v-yes-1 Yamaguchi sarcoma viral related oncogene homolog","LYN","4067","5.5698943","4.193113179217479E-6","6.023991368208587E-4","1.8945622"
"123","carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15","CHST15","51363","5.850458","4.524990821113972E-6","6.447927977371105E-4","2.2617016"
"124","RAB interacting factor","RABIF","5877","5.7402883","4.753949337118591E-6","6.719554034812704E-4","1.1956687"
"125","coronin, actin binding protein, 1C","CORO1C","23603","6.4701753","5.079436960311759E-6","7.122183328270735E-4","2.0577204"
"126","chromosome 12 open reading frame 11","C12orf11","55726","5.712834","5.404917905757539E-6","7.518412391604157E-4","1.3640387"
"127","UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)","UTP11L","51118","6.0902405","5.51985778610464E-6","7.61783837929575E-4","1.3632617"
"128","embryonic ectoderm development","EED","8726","5.802931","5.560494626256013E-6","7.613967915186652E-4","1.3216344"
"129","twist homolog 1 (Drosophila)","TWIST1","7291","6.1760592","5.687580427954767E-6","7.727614120989396E-4","1.7749896"
"130","epithelial membrane protein 3","EMP3","2014","6.6048975","5.765694842526978E-6","7.773487192690027E-4","1.9117935"
"131","fatty acid desaturase 3","FADS3","3995","5.9951386","5.850759418491581E-6","7.827958803656637E-4","1.3529668"
"132","ninjurin 2","NINJ2","4815","6.3619356","5.905201938221345E-6","7.840945028121629E-4","1.4425246"
"133","chromosome 1 open reading frame 38","C1orf38","9473","5.339049","6.0081074285549095E-6","7.917601421073827E-4","1.54079"
"134","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6","ARHGEF6","9459","5.5534296","6.161362779581068E-6","8.058970555053535E-4","1.5796627"
"135","tumor necrosis factor, alpha-induced protein 8","TNFAIP8","25816","6.137091","6.617791249567839E-6","8.591853868975965E-4","2.4814367"
"136","protease, serine, 23","PRSS23","11098","6.1366696","6.642659507828465E-6","8.560727440713934E-4","2.5498803"
"137","myosin IF","MYO1F","4542","5.6657667","6.669351049319254E-6","8.532388017621793E-4","1.9284122"
"138","lymphocyte antigen 96","LY96","23643","6.254752","6.885893522589619E-6","8.745583751480308E-4","2.9268901"
"139","arachidonate 5-lipoxygenase","ALOX5","240","6.4146757","6.8918652377516545E-6","8.690195828926134E-4","2.099453"
"140","purinergic receptor P2Y, G-protein coupled, 13","P2RY13","53829","6.455658","7.054205746213534E-6","8.83136172242033E-4","2.6468692"
"141","signal recognition particle receptor, B subunit","SRPRB","58477","5.825842","7.145371364059708E-6","8.882051340274787E-4","1.339609"
"142","fibrillin 1","FBN1","2200","6.1298966","7.564480161848899E-6","9.336805901177863E-4","1.8716625"
"143","stromal cell-derived factor 2-like 1","SDF2L1","23753","6.2356153","7.574678471432646E-6","9.28401325655944E-4","1.5962417"
"144","regulator of G-protein signaling 19","RGS19","10287","5.728839","7.633170596609736E-6","9.290734794915197E-4","1.4284694"
"145","protein kinase C, beta","PRKCB","5579","5.910771","7.780149723129555E-6","9.404323048089082E-4","1.661438"
"146","enolase 2 (gamma, neuronal)","ENO2","2026","6.498847","7.781030921528701E-6","9.340967737098188E-4","2.2399466"
"147","mannosidase, alpha, class 2B, member 1","MAN2B1","4125","6.637802","7.89525662889419E-6","9.413616526165201E-4","1.9744365"
"148","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","ITGB2","3689","6.444551","7.969917264542665E-6","9.438428371326979E-4","3.4147887"
"149","paired immunoglobin-like type 2 receptor alpha","PILRA","29992","5.7383313","8.009357058483953E-6","9.421476588191157E-4","1.3724664"
"150","prostaglandin E receptor 2 (subtype EP2), 53kDa","PTGER2","5732","5.8441877","8.038913789772797E-6","9.393202799556522E-4","2.3775413"
"151","major histocompatibility complex, class II, DM beta","HLA-DMB","3109","5.997639","8.094360052217108E-6","9.39535421425227E-4","1.8827277"
"152","poly (ADP-ribose) polymerase family, member 12","PARP12","64761","5.493078","8.204522013171773E-6","9.460569560846162E-4","1.5858841"
"153","poly (ADP-ribose) polymerase family, member 8","PARP8","79668","6.0545177","8.346920236161835E-6","9.561860848314279E-4","1.3719808"
"154","actin, alpha 2, smooth muscle, aorta","ACTA2","59","6.2236137","8.54480132413705E-6","9.724982649879875E-4","3.4961357"
"155","SRY (sex determining region Y)-box 17","SOX17","64321","6.3139753","8.626447743789476E-6","9.754564490670849E-4","1.8884047"
"156","phospholipase A2, group IVA (cytosolic, calcium-dependent)","PLA2G4A","5321","5.6775565","8.663307561086596E-6","9.733448180972101E-4","2.9702184"
"157","slit homolog 3 (Drosophila)","SLIT3","6586","5.6384015","8.838682407117348E-6","9.867234812072979E-4","1.5396098"
"158","phosphatidylinositol-4-phosphate 5-kinase, type I, beta","PIP5K1B","8395","5.6164865","8.94388996671429E-6","9.921491104215275E-4","1.6802057"
"159","protein tyrosine phosphatase, receptor type, E","PTPRE","5791","6.193839","8.966632688882711E-6","9.884161706795428E-4","2.2458003"
"160","DNA (cytosine-5-)-methyltransferase 1","DNMT1","1786","5.8886223","9.065063092870404E-6","9.930210051796223E-4","1.7112824"
"161","muscle RAS oncogene homolog","MRAS","22808","6.085213","9.096978230659214E-6","9.903275617935655E-4","1.4623578"
"162","G protein-coupled receptor 65","GPR65","8477","6.647609","9.291064994501868E-6","0.0010052129392508285","2.1994164"
"163","SRY (sex determining region Y)-box 4","SOX4","6659","6.0061717","9.30194998218966E-6","0.0010002164253855104","2.123766"
"164","ATPase, H+ transporting, lysosomal V0 subunit a2","ATP6V0A2","23545","5.3579507","9.940200700991957E-6","0.0010623286444285732","1.4705286"
"165","eukaryotic translation initiation factor 4E family member 2","EIF4E2","9470","5.9971657","1.0431935918078376E-5","0.0011081244899161194","1.4828823"
"166","collagen, type XV, alpha 1","COL15A1","1306","5.9932866","1.0763378268670432E-5","0.0011364441621384738","4.000347"
"167","complement factor D (adipsin)","CFD","1675","6.327562","1.0802796958268714E-5","0.001133776181362729","3.105768"
"168","ORM1-like 2 (S. cerevisiae)","ORMDL2","29095","5.648887","1.111921433823547E-5","0.0011600385101562683","1.4456227"
"169","microtubule associated monoxygenase, calponin and LIM domain containing 1","MICAL1","64780","5.949714","1.1348903279159625E-5","0.001176995430614383","1.8149592"
"170","cystatin A (stefin A)","CSTA","1475","5.607425","1.140749957463214E-5","0.0011761132061445737","2.786708"
"171","glycosyltransferase 25 domain containing 1","GLT25D1","79709","5.846817","1.1566405086330118E-5","0.0011855227014509239","1.2657847"
"172","solute carrier family 1 (glutamate/neutral amino acid transporter), member 4","SLC1A4","6509","5.727554","1.1765829268361421E-5","0.0011989516836428526","1.3184115"
"173","chromosome 9 open reading frame 167","C9orf167","54863","5.601425","1.264691590578103E-5","0.0012812860987319312","1.4230115"
"174","Ras association (RalGDS/AF-6) domain family member 1","RASSF1","11186","5.297373","1.272579860538142E-5","0.0012818682307845987","1.282989"
"175","thymosin beta 10","TMSB10","9168","5.6495104","1.2807337682288444E-5","0.0012827097574712545","1.6514484"
"176","transforming, acidic coiled-coil containing protein 3","TACC3","10460","6.005172","1.2944746169029493E-5","0.0012891054892305678","1.5639445"
"177","zeta-chain (TCR) associated protein kinase 70kDa","ZAP70","7535","6.1842012","1.2982886132093567E-5","0.0012855991256339207","1.266711"
"178","colony stimulating factor 1 receptor","CSF1R","1436","6.5431833","1.3299710197318263E-5","0.001309573149597737","2.906301"
"179","ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)","UBE2I","7329","5.9515233","1.3307332242298721E-5","0.0013030034201718978","1.3782891"
"180","phenylalanyl-tRNA synthetase, alpha subunit","FARSA","2193","5.1489015","1.3313248628811408E-5","0.0012963406039843196","1.3481215"
"181","collagen, type I, alpha 2","COL1A2","1278","6.001492","1.348133999323279E-5","0.0013054555031016082","6.670964"
"182","neuroblastoma RAS viral (v-ras) oncogene homolog","NRAS","4893","6.3795476","1.3634645471725613E-5","0.0013130463251809605","1.6902511"
"183","hematological and neurological expressed 1","HN1","51155","6.551544","1.3886821399586405E-5","0.001330023599292628","1.9320564"
"184","transmembrane protein 39B","TMEM39B","55116","5.5644293","1.4263150666480501E-5","0.0013586426181054552","1.3151629"
"185","CD2 (cytoplasmic tail) binding protein 2","CD2BP2","10421","4.9615455","1.4335394401934842E-5","0.001358143014501146","1.1961148"
"186","transgelin","TAGLN","6876","6.3325443","1.4524360917740034E-5","0.0013686477086302664","3.5949497"
"187","alpha-2-macroglobulin","A2M","2","5.2740445","1.4524974890029727E-5","0.0013613862828746044","1.7612251"
"188","SCO cytochrome oxidase deficient homolog 2 (yeast)","SCO2","9997","5.544448","1.4660034551428977E-5","0.0013667363062919984","1.7626879"
"189","family with sequence similarity 89, member B","FAM89B","23625","6.1289067","1.4662618827740064E-5","0.0013597445512899477","1.3475018"
"190","chromosome 1 open reading frame 63","C1orf63","57035","5.192128","1.4665396113583513E-5","0.0013528441983304115","1.43154"
"191","G protein-coupled receptor 18","GPR18","2841","6.5432935","1.471780272640991E-5","0.0013505703056847461","1.8533014"
"192","solute carrier family 43, member 3","SLC43A3","29015","5.6947703","1.475048588215315E-5","0.001346519614877595","1.542416"
"193","Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide","FCER1G","2207","6.154502","1.488174666217807E-5","0.0013514630764144822","3.478676"
"194","TEA domain family member 4","TEAD4","7004","5.661687","1.4947864917078465E-5","0.00135047024949296","1.686222"
"195","insulin-like growth factor binding protein 6","IGFBP6","3489","6.4909663","1.5145140035287053E-5","0.0013612762533255188","3.4878356"
"196","EH domain binding protein 1-like 1","EHBP1L1","254102","5.7332945","1.5493192950840685E-5","0.001385455065558085","1.2753828"
"197","ribonuclease P/MRP 40kDa subunit","RPP40","10799","5.750301","1.5507722582290534E-5","0.0013797149934000315","1.4381303"
"198","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2","NDUFA4L2","56901","5.3092103","1.5721719815619674E-5","0.0013916898141836667","1.4005498"
"199","N-acetylglucosamine kinase","NAGK","55577","6.008538","1.5725715456895818E-5","0.0013850483156432813","1.4717581"
"200","homeobox B2","HOXB2","3212","5.421062","1.596464842610765E-5","0.0013990619648219437","1.3979075"
"201","vasohibin 1","VASH1","22846","5.9121885","1.610550102665716E-5","0.0014043836641503486","1.8438072"
"202","fibrinogen-like 2","FGL2","10875","5.557907","1.611206402568782E-5","0.0013980007236546058","2.0392358"
"203","nucleoporin 85kDa","NUP85","79902","5.277567","1.6182604258503662E-5","0.0013972044573339589","1.4217476"
"204","tyrosyl-tRNA synthetase","YARS","8565","5.901529","1.642825188716208E-5","0.0014114606413053422","1.4508952"
"205","CD36 molecule (thrombospondin receptor)","CD36","948","6.502399","1.6444411829189566E-5","0.0014059571030741733","3.8110552"
"206","REX4, RNA exonuclease 4 homolog (S. cerevisiae)","REXO4","57109","5.0059366","1.6488171385400692E-5","0.001402855242096689","1.3727659"
"207","DDRGK domain containing 1","DDRGK1","65992","5.279246","1.669018641749217E-5","0.0014131830789342282","1.4378141"
"208","lectin, galactoside-binding, soluble, 1","LGALS1","3956","5.359609","1.730895191570816E-5","0.0014585288472433503","1.9866828"
"209","homer homolog 3 (Drosophila)","HOMER3","9454","5.992325","1.7375493745191507E-5","0.001457130520918524","1.543377"
"210","RAB32, member RAS oncogene family","RAB32","10981","5.876754","1.7930314721675342E-5","0.0014964982196514463","1.5274968"
"211","peptidyl-tRNA hydrolase 2","PTRH2","51651","5.87491","1.8477324306312815E-5","0.001534843901027226","1.3547525"
"212","thymidine phosphorylase","TYMP","1890","5.687861","1.866054717256855E-5","0.0015427519353472122","1.719983"
"213","Tax1 (human T-cell leukemia virus type I) binding protein 3","TAX1BP3","30851","5.8718414","1.8709616666872805E-5","0.0015395467198135195","1.3842129"
"214","chloride intracellular channel 1","CLIC1","1192","5.266883","1.9037349739705327E-5","0.0015591945275131554","1.4355675"
"215","FK506 binding protein 11, 19 kDa","FKBP11","51303","5.99546","1.9318081445280804E-5","0.0015748279697276122","1.9129595"
"216","MICAL-like 1","MICALL1","85377","5.412549","1.934566950783113E-5","0.0015697756919618344","1.3605646"
"217","schlafen family member 12","SLFN12","55106","5.267399","1.9486960123749744E-5","0.0015739536870459068","1.4691832"
