	CD1	CD2	CD3	CD4	LD1	LD2	LD3	DN1	DN10	DN11	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9
MEST 	1.07113	1.73773	1.88228	1.79594	1.98208	1.38301	1.81172	1.98483	2.86217	3.77087	3.14412	3.27365	3.1913	3.54169	3.02372	2.1679	2.97231	1.6491
NOV 	-1.15828	-1.56864	-1.28223	-1.09134	-1.12134	-1.49277	-1.26862	-0.98296	-0.24567	-0.98835	-0.71337	-0.57003	0.08133	-0.62655	-0.50816	-0.82411	-1.08973	-0.66731
RPS4X 	6.31834	6.31751	6.05431	6.52447	6.50358	6.3462	6.18002	6.40455	6.82718	6.76528	7.04598	6.69619	6.55164	6.79991	7.19332	6.69929	6.76491	6.84278
LUM 	1.26397	1.48011	1.54225	1.54404	0.16182	1.14239	0.81831	2.64176	4.37752	2.31548	3.39968	2.90778	3.56263	2.66581	4.21861	2.77206	1.35029	1.53373
HBA2 	0.95286	2.1168	1.15804	0.56675	2.16995	1.66113	0.9722	3.24805	1.47559	3.55991	3.59109	6.25046	4.67165	6.35904	5.4476	4.7341	3.02088	2.53598
KIAA0494 	3.24605	3.40735	3.1937	3.42002	3.1788	3.0652	3.32836	3.51802	3.56458	3.38974	3.80658	3.66536	3.53543	3.74214	3.59023	3.3775	3.64316	3.84949
OAZ1 	0.61587	0.9025	0.5195	0.62481	0.59795	1.02963	0.62152	1.38452	1.075	1.66129	1.2198	1.46458	1.27483	0.87512	0.96663	0.90058	1.19543	1.2704
SPTLC3 	-1.72059	-1.82108	-1.86051	-1.88134	-1.87547	-1.69523	-1.74986	-1.64744	-1.62502	-1.49952	-1.56199	-1.66756	-1.53398	-1.70347	-1.65668	-1.44165	-1.36154	-1.69792
RPS23 	7.2922	7.06068	7.04775	7.0957	7.09	7.23452	6.98311	7.37159	7.42608	7.22655	7.55755	7.53319	7.51291	7.4467	7.47474	7.18546	7.26531	7.3515
PRDX6 	3.43332	3.74321	3.29889	3.67988	3.56129	3.60518	3.60963	3.80943	3.8925	3.96335	3.83976	3.81492	3.98212	3.96983	3.86251	3.99965	3.83989	4.30632
PNRC2 	3.55115	4.09423	3.56365	4.28455	3.66996	3.89777	3.91275	4.30329	4.72029	4.50428	4.34893	4.63457	4.37741	4.25003	4.46235	4.62731	4.66217	5.00391
SLC6A2 	-0.41457	-0.30062	-0.33947	-0.56733	-0.44869	-0.35953	-0.42033	-0.09229	0.24595	0.01133	0.03368	-0.22838	-0.3189	-0.18435	-0.39284	0.09684	0.05478	-0.12398
RPL11 	5.89237	5.59075	5.55659	5.81863	5.76544	5.52082	5.56404	5.89711	6.10933	6.10655	6.07928	6.16691	6.06277	5.88468	6.16561	5.82603	6.09014	6.04708
RPL23 	5.57876	5.69606	5.71783	5.58932	5.15836	5.64011	5.58521	5.87231	6.38419	6.23167	6.20241	6.24119	5.84383	5.85745	5.59037	5.96811	6.31324	6.40859
SLC39A2 	-0.30803	-0.24479	-0.17561	0.0588	-0.14938	-0.02244	-0.10199	0.13332	0.38192	0.32848	0.23014	0.05374	0.06761	0.10409	0.14925	0.46603	0.03226	0.07817
ZC3H11A 	2.96782	2.96656	2.66635	3.03757	2.69828	2.49663	2.82365	3.08619	3.25607	3.45234	3.16827	3.67402	3.26824	3.14559	3.24165	3.33546	3.00355	3.6292
RNASET2 	1.28001	1.27266	1.40601	1.46879	1.32871	1.31133	1.22953	1.96659	2.09794	2.16902	1.78959	2.61406	2.4833	1.69552	2.60206	1.23178	1.65825	2.31364
HNRNPA1 	5.95565	5.75813	5.70076	6.05158	5.72251	6.0171	5.70196	6.07003	6.33508	6.31932	6.00525	6.32146	6.2579	6.2192	6.33909	6.07622	6.0841	6.4278
SH3BGRL 	2.93535	3.35079	3.23872	3.38882	3.00634	2.84771	3.17287	3.43543	4.07368	3.39156	3.52041	3.93572	3.36034	3.50864	3.85028	3.82638	3.49476	3.92419
AGR2 	-0.04229	-0.04506	0.43837	0.78984	0.08143	-0.24517	0.46384	0.48069	1.85164	0.90708	2.076	1.98424	0.92315	2.44587	2.13969	0.43779	0.80958	1.70651
ATAD2B 	-1.45748	-1.4529	-1.23778	-1.22136	-1.37702	-1.47447	-1.44348	-0.80006	-0.74735	-0.89434	-1.00515	-0.3057	-1.11788	-1.35212	-0.61036	-1.0285	-1.25483	-0.65067
MARCKS 	-0.61925	-0.75098	-0.77881	-0.38117	-0.76969	-0.7885	-0.80644	-0.43905	0.87147	0.08447	-0.07042	0.30938	0.50556	-0.1102	0.98516	-0.68314	0.08595	-0.16769
ACSL5 	-0.10562	-0.46582	-0.1387	-0.07747	-0.19416	0.01977	-0.03822	0.04805	0.28873	0.08111	0.26588	0.66111	0.08979	0.09472	0.38196	0.37208	0.46709	0.95904
ARHGAP25 	-0.49683	-0.35382	-0.30763	-0.40478	-0.10783	-0.2233	-0.32023	-0.14172	0.26132	0.00848	-0.13412	0.17451	0.00769	-0.18778	-0.0344	-0.08153	0.26352	-0.12393
FGL2 	0.86503	1.28425	1.09979	1.09629	0.97798	0.90506	1.01693	1.42888	3.44619	2.65646	2.8936	3.30479	2.80012	3.70242	3.29755	0.4971	2.78722	1.81361
HNRNPUL2 	-1.06184	-1.38851	-1.09229	-1.34335	-1.13881	-1.18422	-1.04927	-0.81927	-0.66208	-0.50683	-0.88186	-0.91534	-1.2462	-0.53664	-0.97343	-0.47907	-0.76084	-0.84621
SMARCA2 	-0.28894	-0.25346	-0.69905	-0.55914	-0.43618	-0.68676	-0.41616	0.16976	0.37211	-0.24865	0.14935	0.05973	-0.46765	0.14334	0.30054	0.06404	0.07817	1.10732
RPS15A 	7.03467	6.88641	6.76384	7.0657	6.85093	6.97412	6.6461	7.09757	7.52724	7.19348	7.3123	7.35412	7.35035	6.88247	7.41864	7.08704	7.20514	7.48034
PTPRN2 	0.23963	0.08833	0.06054	0.3915	0.24387	0.20418	0.33819	0.5406	0.8861	0.56133	0.89211	1.31796	0.72622	0.98556	1.30183	0.22143	0.31313	1.11536
RPL39 	6.52519	6.50688	6.36666	6.62812	6.43955	6.83083	6.42661	6.71022	7.07078	6.83269	7.0031	7.03318	6.96419	6.71212	7.00998	6.72005	6.73477	7.05054
NOP2 	1.30897	1.01447	0.83991	1.18502	1.1736	1.03971	1.05676	1.31351	1.47609	1.78918	1.38919	1.40764	1.35617	1.29231	1.21526	1.62039	1.42605	1.61463
SFRS3 	3.2242	2.94417	3.03619	2.90716	3.26203	2.52277	2.94959	3.43133	3.89231	3.55882	3.65728	3.65641	3.3188	3.42932	3.3498	3.43222	3.23612	4.04832
PECAM1 	0.57995	0.33681	0.16013	0.51098	0.08546	0.47974	0.59581	0.613	1.06243	0.6183	0.89231	1.82037	1.34055	0.52749	1.34966	0.80915	1.17337	1.57783
C12orf35 	-0.64456	-0.75495	-0.8529	-0.89779	-0.85142	-1.1119	-1.08237	-0.57607	-0.15083	-0.89253	-0.38761	0.21544	-0.07958	-0.47188	-0.37368	-0.65919	-0.57505	-0.06073
DARC 	-0.00826	0.22331	0.10214	0.33826	0.64803	-0.23356	0.29086	0.35832	2.24672	1.57584	0.38405	2.51174	1.47239	0.99769	2.11308	0.72294	2.8728	2.8517
SASH3 	-0.39121	-0.46143	-0.38566	-0.2858	-0.26812	-0.06928	-0.03594	0.15221	0.34278	-0.08546	-0.01722	0.21663	0.11679	-0.17903	0.06146	0.20495	0.24097	0.04796
XPNPEP2 	-0.39121	-0.46143	-0.38566	-0.2858	-0.26812	-0.06928	-0.03594	0.15221	0.34278	-0.08546	-0.01722	0.21663	0.11679	-0.17903	0.06146	0.20495	0.24097	0.04796
HBB 	0.83785	2.82291	1.69269	0.9889	2.4922	1.9941	0.64274	3.50964	1.47865	2.9916	3.91979	6.35724	4.90712	6.77712	5.86466	5.52942	3.28546	2.89606
LPHN1 	-0.11334	-0.09042	-0.21581	-0.03088	-0.17519	0.05455	-0.09801	-0.1206	0.32328	0.27513	0.147	0.01879	0.14209	0.00787	0.21244	0.15354	0.07943	0.25127
SATB2 	0.71778	0.85019	0.53654	0.8557	0.38256	0.07648	0.42486	1.73264	1.20976	0.73805	1.21621	1.596	1.45036	1.29022	0.75328	1.41393	0.66309	1.6502
IGFBP7 	5.25343	5.26325	5.38232	5.32364	5.38372	5.50755	5.68748	5.34736	6.33447	5.90449	5.79669	5.73417	6.20532	5.72706	6.22184	5.53633	5.82628	6.08366
NACA 	6.60489	6.29946	6.19992	6.53419	6.54894	6.42328	6.3363	6.89137	6.8851	6.82115	6.77875	6.63413	6.76453	6.56588	6.76714	6.78476	6.77783	6.64796
CLK1 	-1.60908	-1.91855	-1.68511	-1.64518	-1.51967	-1.24733	-1.62538	-0.85491	-0.64364	-1.29335	-0.90069	0.42232	-1.09103	-0.97403	-1.0724	-1.20992	-1.04196	-1.08499
RBBP4 	2.72497	2.62748	2.52183	2.67454	2.45507	2.32721	2.52713	2.73526	3.02796	2.72992	3.00361	2.98754	2.68153	3.02892	2.83463	2.68921	2.7536	3.13904
KLRK1 	-0.30914	-0.61519	-0.10443	-0.24592	-0.14203	-0.24069	-0.15021	-0.04404	0.40831	0.1493	0.12887	0.28181	-0.16503	-0.18986	0.21444	0.35278	0.77096	0.37827
S100PBP 	-0.92066	-0.83221	-0.75371	-0.8372	-1.0507	-0.93072	-0.80586	-0.64291	-0.27183	-0.41725	-0.7154	-0.2434	-0.5814	-0.52117	-0.71859	-0.68751	-0.90595	-0.35325
NTNG1 	-0.50877	-0.43317	-0.38019	-0.40055	-0.82544	-0.58826	-0.47445	-0.21117	0.06336	0.00904	-0.13135	-0.27408	-0.56157	-0.36074	-0.17205	0.03444	0.26307	-0.01186
PAPPA2 	1.54832	0.79058	0.51425	1.71028	0.03565	1.10097	1.34773	0.87862	2.05037	2.25517	2.44268	3.63766	2.48633	2.49444	3.16194	1.60703	2.52634	3.26708
ASTN1 	1.54832	0.79058	0.51425	1.71028	0.03565	1.10097	1.34773	0.87862	2.05037	2.25517	2.44268	3.63766	2.48633	2.49444	3.16194	1.60703	2.52634	3.26708
CLIP1 	-1.24617	-1.15983	-1.42703	-1.12921	-1.39709	-1.39555	-1.27337	-1.01558	-0.90023	-0.96139	-1.24551	-0.9707	-1.26114	-1.00146	-1.08634	-0.99695	-0.69114	-0.85906
CASP1 	-1.09264	-1.08901	-0.90849	-0.93913	-1.23773	-1.25593	-1.09088	-0.95158	-0.44899	-0.53996	-1.12832	-0.33721	-0.56534	-0.88087	-0.48663	-0.86935	-0.56072	-0.85101
RPL22P22 	-0.09938	-0.16899	-0.07373	-0.11433	-0.18614	-0.19815	-0.16036	0.2634	-0.05374	-0.02201	0.11742	0.09826	0.15116	-0.00377	-0.02137	-0.09621	-0.03416	-0.08807
ADRB2 	-1.23781	-1.18138	-1.31249	-1.09538	-1.20968	-1.44568	-1.23718	-0.76055	-1.04141	-0.85569	-1.07062	-0.30708	-0.90149	-0.85027	-1.04661	-1.19173	-0.90745	-0.53419
RUNX3 	-1.42353	-1.37357	-1.50581	-1.24558	-1.30469	-1.42974	-1.44331	-1.22711	-1.00228	-1.17145	-1.25889	-0.87168	-0.89399	-1.34685	-1.24119	-1.26593	-1.13438	-0.86829
LAMA2 	-1.1127	-1.06804	-1.14182	-1.09748	-1.14884	-0.91956	-1.04206	-0.72729	-0.76883	-0.95817	-0.78761	-1.0515	-0.77261	-0.74065	-0.25423	-0.7601	-0.90483	-0.82524
SPARCL1 	2.28106	2.60424	1.71446	1.54143	2.93209	2.92837	2.08241	3.05938	3.74786	2.90424	2.9308	3.58056	3.49876	3.62855	3.82302	3.63051	2.9413	4.77265
ZBBX 	-1.81547	-1.91607	-1.9034	-1.85216	-1.77904	-1.69009	-1.72907	-1.61912	-1.64246	-1.77092	-1.72255	-1.75992	-1.5085	-1.52627	-1.42584	-1.56195	-1.50061	-1.67303
PLS3 	3.55402	3.43157	3.27333	4.05095	3.53106	3.14669	3.47839	3.83316	4.45528	4.11979	3.96224	4.10459	4.17029	3.82054	4.43096	3.92138	3.78891	4.64787
RPL29 	5.78533	5.79533	5.53347	5.87482	5.61093	5.95324	5.35676	5.97219	6.34073	6.48185	6.15695	6.29506	5.90108	5.71922	6.25908	6.09194	6.22835	6.3154
FSTL1 	2.71616	2.80983	2.71141	2.98761	2.42768	2.34382	2.82445	2.56903	4.62294	3.5688	3.60634	4.22172	3.98872	2.93802	5.05501	3.51045	3.14795	3.97222
NUAK1 	0.31658	-0.11724	0.4468	0.20809	-0.24606	0.10075	0.15071	0.37708	0.44669	0.32522	0.7124	1.50106	1.17964	0.60526	0.70694	0.3906	0.75491	1.09425
RPS27 	6.51262	6.34518	6.269	6.66846	6.4211	6.51384	6.31779	6.54552	6.88903	6.5701	6.91686	6.9079	6.72774	6.63803	6.8029	6.54404	6.76598	6.77893
KIR3DL2 	-1.00146	-1.1415	-1.05504	-1.00142	-0.96638	-1.11883	-1.08634	-0.6576	-0.79506	-0.78472	-0.86004	-1.11326	-0.93829	-0.77718	-0.98783	-0.69977	-0.72925	-0.46934
RPL36A 	5.93425	5.8632	5.78753	6.07936	5.83139	6.03434	5.61297	6.18188	6.45219	6.26228	6.52562	6.47929	6.22322	5.66181	6.58106	6.06712	6.32555	6.41842
RPS6 	6.4261	6.3432	6.30681	6.40538	6.35528	6.44172	6.33253	6.62134	6.69751	6.38362	6.57175	6.78916	6.5692	6.51619	6.77645	6.33496	6.48909	6.68175
LOXL2 	-0.23974	-0.51197	-0.29786	-0.20501	-0.57382	-0.51139	-0.53172	-0.29185	0.32228	0.38102	-0.36538	0.44135	0.11173	-0.20294	0.94371	-0.07298	0.00999	0.34563
RARB 	-0.17329	-0.24941	-0.13501	-0.40457	-0.1996	-0.28656	-0.26516	-0.061	0.26329	-0.05847	-0.12606	0.02492	-0.12691	-0.04902	-0.15955	0.28765	-0.12311	0.0502
MGC29506 	0.58171	1.04773	0.61196	0.74232	0.92296	0.89657	1.01559	0.9217	1.38256	1.08462	1.75804	1.61269	1.41249	0.98921	2.34681	1.27839	1.5551	1.29741
LOC91316 	0.47204	0.75936	0.16571	0.39365	0.53091	0.92538	1.16185	1.13137	1.39318	1.66821	2.09983	2.8638	2.8366	1.56201	3.25088	1.2886	2.0702	0.37484
CD44 	-0.51437	-0.69019	-0.43409	-0.33197	-0.58409	-0.46273	-0.20597	-0.33706	-0.1067	-0.0718	0.138	0.28437	-0.22805	-0.21926	0.43469	-0.1616	-0.36351	0.40109
TNRC6B 	3.25721	3.14417	3.20282	3.43894	3.03359	3.25417	3.27103	3.64397	3.56548	3.33011	3.54155	3.4764	3.30593	3.39304	3.66318	3.39578	3.46953	3.82812
RPL7P52 	3.25721	3.14417	3.20282	3.43894	3.03359	3.25417	3.27103	3.64397	3.56548	3.33011	3.54155	3.4764	3.30593	3.39304	3.66318	3.39578	3.46953	3.82812
CAMK2G 	-0.41151	-0.34269	-0.52199	-0.37977	-0.66916	-0.49267	-0.37448	-0.25021	-0.29713	-0.34043	-0.26192	0.06733	-0.07013	-0.31462	-0.20717	-0.03464	-0.09431	-0.38305
MYOF 	0.83378	0.26112	0.58918	1.72415	0.57693	-0.10237	0.34994	0.87901	2.24688	2.25491	1.51455	3.07322	2.6299	2.14656	2.79459	0.53873	1.15218	3.06607
RPL24 	6.14282	6.03916	5.81058	6.1329	6.06425	6.1924	5.84834	6.31474	6.44151	6.42999	6.4237	6.33947	6.30177	6.18587	6.30571	6.14956	6.35148	6.50049
CELF2 	-1.71278	-1.59674	-1.64062	-1.70331	-1.96975	-1.76286	-1.67424	-1.45059	-1.41163	-1.51635	-1.57604	-1.22884	-1.43658	-1.4284	-1.20275	-1.71359	-1.50019	-1.54566
PTRF 	1.0417	0.27554	0.75327	0.47121	0.78103	0.93253	0.3779	0.84422	1.66719	1.26166	0.95263	1.83403	1.80015	0.80146	1.46943	1.29975	1.00754	1.92083
RPS25 	4.84769	4.78533	4.72225	4.75994	4.51767	5.10845	4.62405	4.96499	5.52633	5.27242	5.25307	5.16714	5.167	4.69754	5.14336	5.10772	5.32462	5.23165
RPS7 	6.08818	5.96569	6.01866	6.23166	5.94615	6.14262	5.89042	6.3651	6.23178	6.16333	6.4039	6.51277	6.47314	6.30051	6.44406	6.13769	6.32839	6.03193
LUC7L3 	1.88994	2.24309	2.0642	2.25438	1.639	2.30103	2.35792	2.78544	2.92856	2.93289	2.75165	3.9579	2.97195	2.71146	2.49752	2.35332	2.29504	2.54152
MPP3 	0.0952	0.18214	0.09179	0.00726	0.30868	0.30757	0.1338	0.36329	0.84927	0.73457	0.33141	0.35379	0.29395	0.26454	0.4384	0.9749	1.0844	0.64576
MUC1 	0.57463	0.93268	0.39231	0.90839	0.72429	0.54508	0.786	0.71708	1.56444	1.45411	1.31668	1.31517	1.0852	1.32445	1.82786	0.79979	1.18952	2.42858
DAG1 	-0.43594	-0.58269	-0.53036	-0.73346	-0.51809	-0.57655	-0.44139	-0.24202	0.06547	0.03652	-0.23689	-0.57715	-0.42903	-0.52132	-0.29669	-0.08525	0.13759	-0.14906
HDGFRP3 	-0.40301	-0.1676	-0.26161	0.25892	-0.32896	-0.35137	-0.40501	-0.15642	0.94284	-0.02901	0.36019	0.54383	0.29672	0.19599	0.54634	0.09901	0.08647	1.11168
WNT5A 	-0.85308	-0.92036	-0.62556	-0.43619	-0.81819	-0.7984	-0.51626	0.07551	0.31254	-0.32444	-0.59994	0.10668	0.17285	-0.32299	0.36302	-0.53454	-0.63615	-0.43538
DNASE1L3 	-0.19274	-0.31842	-0.44994	-0.1947	0.83508	0.28174	0.77592	0.97747	1.31456	0.69852	1.15745	1.74676	1.7942	1.41315	1.24141	0.79386	1.43313	0.3234
IGKC 	3.33085	4.7636	3.85667	3.56247	3.67862	4.28682	4.94793	4.00751	6.43692	5.05002	7.14644	7.52397	7.20043	4.97396	8.09718	5.32981	7.28587	4.11843
FAM172A 	1.13003	1.13954	1.01436	1.2898	1.212	1.22167	1.24812	1.48112	1.31323	1.27914	1.49095	1.70084	1.21834	1.31536	1.54342	1.74207	1.34663	1.33361
MORF4L1 	5.49767	5.26614	5.32687	5.60883	5.14191	5.28236	5.37681	5.51552	5.95541	5.78765	5.63053	5.71708	5.34554	5.6183	5.63062	5.7707	5.62289	5.99455
TFCP2L1 	1.42515	1.38484	1.14238	1.23584	1.49359	1.34276	1.13969	1.56022	1.99817	1.54166	1.74229	2.25826	1.56146	1.52955	1.46153	1.59252	1.55148	2.25895
ITGB1 	4.22551	3.74468	4.03406	4.14131	3.54956	3.54864	3.79075	3.9018	5.05854	4.33063	4.29063	4.4896	4.70422	4.34658	5.27231	4.22421	4.20908	5.19987
HLA-DQA1 	1.8245	0.39601	0.32255	0.83495	0.51246	0.98175	0.80282	0.64774	3.18059	2.19445	2.89246	3.69328	2.67825	1.68647	3.64109	1.2193	3.98766	1.0281
FN1 	0.9387	0.81321	1.54501	1.45711	1.07068	0.95347	1.01593	2.93131	4.11503	1.89493	2.34127	2.31943	3.59906	2.24149	3.34214	1.04928	0.7661	3.0899
NOLC1 	1.99457	2.38165	2.02753	2.37596	2.25946	2.26958	2.26966	2.17295	2.45024	2.76399	2.67775	2.67117	2.99069	2.70982	2.7656	2.40753	2.26111	2.878
BRWD1 	-1.47029	-1.59278	-1.53323	-1.55149	-1.66977	-1.60293	-1.57249	-1.3809	-1.41191	-1.58509	-1.30974	-1.20475	-1.42527	-1.49009	-1.35082	-1.3505	-1.54281	-1.45691
RPL4 	6.28529	6.02422	6.01783	6.26582	6.03646	6.28656	6.04695	6.58221	6.44096	6.45087	6.47922	6.46611	6.35377	6.18305	6.57827	6.23072	6.3786	6.31587
CD164 	2.45122	2.38678	2.35058	2.7123	2.52549	2.05096	3.08508	3.56109	3.59547	3.2786	3.19283	2.32126	2.85617	3.11358	2.79723	4.0177	3.61439	3.44327
CHL1 	-0.91747	-1.02386	-1.08894	-1.03998	-1.48233	-0.68439	-0.63101	-0.42011	-0.39649	-0.62794	-0.40117	-0.18877	-0.63879	-0.66587	-0.28239	-0.68761	-0.11524	-0.21427
LAMC2 	-0.30073	-0.46076	-0.15454	0.20224	0.0247	0.14533	-0.16626	-0.21493	0.48041	0.60057	0.34579	0.41332	0.89482	0.4378	0.58679	0.02992	0.3086	0.855
UFC1 	4.25245	4.29898	4.27915	4.17953	4.00637	4.09254	4.00887	4.44417	4.30915	4.29341	4.52259	4.49347	4.36695	4.34079	4.49788	4.30622	4.27637	4.66702
FAM164A 	-0.76515	-0.60681	-0.60893	-0.58374	-0.4776	-0.65799	-0.53424	-0.38795	-0.50277	-0.51741	-0.22404	-0.47295	-0.2628	-0.32689	-0.63468	-0.41405	-0.39679	-0.27094
C1orf63 	-0.53644	0.20295	0.2846	-0.28157	-0.08583	0.16541	0.06906	0.81219	0.58143	0.56768	0.68774	2.36014	1.44226	1.16006	0.69955	0.35179	0.28177	0.30097
THUMPD1 	0.17587	-0.04872	-0.23692	0.08174	-0.53545	-0.03697	-0.10823	0.26595	0.74523	0.15019	0.12731	0.30756	0.25746	0.29944	0.527	0.3575	0.32206	0.54158
HBG2 	-0.02534	-0.05933	6.50E-04	-0.04013	0.12495	0.24607	0.20055	0.19526	0.21441	0.12235	0.4206	0.48764	0.16457	0.58736	0.55058	0.67192	0.51864	0.1429
ITM2B 	6.49067	6.22631	6.23239	6.32341	6.32715	6.2683	6.39071	6.60368	6.66641	6.47489	6.56434	6.26126	6.64496	6.56185	6.45712	6.77305	6.73422	6.35945
ZNF235 	-1.38714	-0.9625	-1.24052	-1.17377	-1.25455	-1.15926	-1.01674	-0.84357	-0.91976	-0.80177	-0.92615	-1.04533	-0.90531	-0.9055	-1.19706	-0.73411	-0.6456	-0.71899
IL2RB 	-0.17402	0.06519	0.04867	0.08964	0.05833	0.13517	0.35163	0.18573	0.63248	0.33961	0.21139	0.5099	0.16002	0.27619	0.70925	0.82129	0.93232	0.44416
RYBP 	9.00E-04	0.285	0.07453	0.06891	0.11374	0.49627	0.28098	0.37566	0.64966	0.3356	0.5103	0.81251	0.65698	0.6461	0.97312	0.50022	0.17681	0.5416
RPS24 	7.07253	6.83269	6.73242	7.03862	6.86578	6.78303	7.02907	7.29303	7.40528	6.64431	7.38819	7.51163	7.2229	7.19459	7.31444	7.15724	7.18772	7.37881
