	H5Tub.HGU133A.Stanford373.Stanford373	H5Tub.HGU133A.Stanford374.Stanford374	H5Tub.HGU133A.Stanford375.Stanford375	H5Tub.HGU133A.Stanford378.Stanford378	H7Tub.HGU133Plus2.Stanford1164.Stanford1164	H7Tub.HGU133Plus2.Stanford1165.Stanford1165	H7Tub.HGU133Plus2.Stanford1166.Stanford1166	H7Tub.HGU133Plus2.Stanford1168.Stanford1168	H7Tub.HGU133Plus2.Stanford1169.Stanford1169	H7Tub.HGU133Plus2.Stanford1170.Stanford1170	H7Tub.HGU133Plus2.Stanford1171.Stanford1171	H7Tub.HGU133Plus2.Stanford1172.Stanford1172	H7Tub.HGU133Plus2.Stanford1173.Stanford1173	H7Tub.HGU133Plus2.Stanford1174.Stanford1174	H7Tub.HGU133Plus2.Stanford1175.Stanford1175	H7Tub.HGU133Plus2.Stanford1177.Stanford1177	H7Tub.HGU133Plus2.Stanford1178.Stanford1178	H7Tub.HGU133Plus2.Stanford1179.Stanford1179	H7Tub.HGU133Plus2.Stanford1180.Stanford1180	H7Tub.HGU133Plus2.Stanford1182.Stanford1182	H7Tub.HGU133Plus2.Stanford1183.Stanford1183	H7Tub.HGU133Plus2.Stanford1184.Stanford1184	H8Tub-HGU133Plus2-LD_Stanford1296-LD_Stanford1296_30_25	H8Tub-HGU133Plus2-LD_Stanford1298-LD_Stanford1298_30_103	H8Tub-HGU133Plus2-LD_Stanford1299-LD_Stanford1299_30_109	H8Tub-HGU133Plus2-LD_Stanford1301-LD_Stanford1301_30_131	H8Tub-HGU133Plus2-LD_Stanford1302-LD_Stanford1302_30_138	H8Tub-HGU133Plus2-LD_Stanford1303-LD_Stanford1303_30_142	H8Tub-HGU133Plus2-LD_Stanford1304-LD_Stanford1304_30_146	H8Tub-HGU133Plus2-LD_Stanford1305-LD_Stanford1305_30_147	H8Tub-HGU133Plus2-LD_Stanford1306-LD_Stanford1306_30_150	H1Tub.HGU133A.DNNULL.DN1	H1Tub.HGU133A.DNNULL.DN10	H1Tub.HGU133A.DNNULL.DN11	H1Tub.HGU133A.DNNULL.DN2	H1Tub.HGU133A.DNNULL.DN3	H1Tub.HGU133A.DNNULL.DN5	H1Tub.HGU133A.DNNULL.DN6	H1Tub.HGU133A.DNNULL.DN7	H1Tub.HGU133A.DNNULL.DN8	H1Tub.HGU133A.DNNULL.DN9	H7Tub.HGU133Plus2.DN1101.DN1101	H7Tub.HGU133Plus2.DN1108.DN1108	H7Tub.HGU133Plus2.DN1110.DN1110	H7Tub.HGU133Plus2.DN1114.DN1114	H7Tub.HGU133Plus2.DN1132.DN1132	H7Tub.HGU133Plus2.DN1133.DN1133	H7Tub.HGU133Plus2.DN1139.DN1139
GUCY1B3 	-1.07283	-1.45787	-1.23117	-1.74959	-1.65757	-0.14508	-1.05452	-0.59114	-0.93838	-1.33249	-0.89236	-0.83009	-1.27784	-0.70117	-1.53499	-1.28034	-1.12386	-1.1498	-0.88272	-1.41396	-1.19062	-0.91455	-0.48897	-0.29257	-0.30006	-0.71183	-0.48284	-1.17119	-1.14503	-0.99642	-1.05304	-0.64632	0.04471	-0.44198	-0.03068	-0.68854	-0.14043	-0.56494	-0.51386	-0.49409	-0.42242	0.32276	-0.12086	-0.17174	-0.40947	-0.81547	-0.16778	-0.18255
B4GALT5 	1.11728	1.38829	1.70125	1.1346	1.22141	2.14615	1.94085	1.65498	1.7389	1.34587	1.93207	1.69122	1.18097	1.84285	1.38467	1.78769	1.89745	1.26752	1.89078	1.70954	1.76482	1.42043	2.05335	1.88669	1.68789	2.17893	1.91898	1.93276	1.82401	2.33384	2.05425	2.18448	2.50189	2.21751	2.09045	2.67323	2.69374	2.82774	2.08188	2.23115	1.75971	2.74778	2.20601	2.3538	2.40354	2.33753	3.07536	2.42007
MEST 	2.09365	1.43991	2.30909	1.62618	0.74297	1.88527	2.30134	2.37316	1.75365	1.47026	1.69904	2.18439	1.89489	2.0864	1.64332	2.84836	1.84002	2.05865	1.73957	1.35333	1.6251	1.84247	1.35336	2.79285	2.33634	1.55658	1.98387	1.82636	2.43715	2.55164	1.50665	2.06978	2.88368	3.59814	2.98988	3.14314	3.41649	2.98058	2.22751	2.96855	1.76908	3.47017	3.24142	3.44951	3.2077	3.32257	2.69976	3.06391
HSP90B1 	3.26847	3.05827	3.25704	2.75359	2.71354	3.56814	3.16102	3.46398	3.22006	3.22048	3.10425	3.28882	3.43131	3.44528	3.02505	3.14793	3.33924	3.37345	3.33616	3.18285	2.97235	3.37981	3.70813	4.06715	3.51746	3.46542	3.57186	3.50193	3.39738	3.4415	3.30344	3.69145	4.01099	3.61063	4.09031	3.70496	4.13394	4.1007	3.42618	3.93599	4.24558	3.929	3.77169	3.79406	3.55755	3.35592	3.75608	3.97768
CNOT2 	1.61238	1.53171	1.44784	1.35343	1.20637	1.56179	1.60853	1.58269	1.59545	1.76564	1.68723	1.46067	1.54536	1.67248	1.31412	1.54961	1.59215	1.6516	1.73749	1.61428	1.5417	1.50146	2.02739	1.79111	1.79087	1.45555	1.64251	1.60372	1.71126	1.73891	1.62322	1.80122	1.87385	1.68815	1.8753	2.27236	2.04406	1.8539	1.78464	1.92745	1.76579	1.941	2.03136	1.88466	1.80763	1.80671	1.80819	1.76477
NUP133 	1.06125	1.25431	0.93832	0.88131	0.88657	1.14448	0.98273	1.0441	0.9145	0.98039	0.93476	1.08939	1.04345	1.14765	0.68209	0.80306	0.93869	1.06481	1.24907	0.96416	1.14196	1.02188	1.16492	1.23975	1.28319	0.76534	1.12624	0.97332	1.24398	1.00407	0.88374	1.43979	1.35325	1.22374	1.31683	1.46447	1.37442	1.44324	1.13691	1.11068	1.37201	1.30267	1.16766	1.30957	1.22968	1.10192	1.13831	1.25558
TXNDC9 	2.46337	2.37602	2.31727	1.62856	1.9351	2.42251	2.23155	2.27181	2.43638	2.19413	2.39334	2.12563	2.46034	2.2052	2.08481	2.43766	2.27372	2.44397	2.37946	2.30884	2.27644	2.41778	2.76112	2.89191	2.93423	2.21454	2.71997	2.6047	2.48413	2.53465	2.28364	2.65935	2.84163	2.62679	2.56121	2.90973	2.80728	2.9503	2.4839	2.52005	2.91038	2.98144	2.68087	2.87498	2.78328	2.53135	2.94572	2.71269
ATXN3 	-1.12612	-1.29061	-1.22394	-1.23648	-1.59356	-1.3954	-1.23326	-1.26905	-1.35092	-1.24495	-1.29236	-1.23746	-1.29262	-1.27159	-1.43585	-1.15937	-1.11871	-1.21939	-1.1833	-1.3099	-1.33509	-1.28538	-1.24205	-0.98084	-0.98227	-1.33033	-1.23063	-1.31465	-0.99266	-1.31453	-1.20839	-0.98942	-1.05686	-1.03049	-1.19121	-0.89742	-0.94668	-0.99747	-1.14312	-0.92213	-0.73788	-0.90942	-1.09218	-0.62322	-1.08233	-0.97075	-0.81754	-1.04335
MED17 	-0.01199	-0.09161	-0.12607	-0.29883	-1.01716	0.03287	0.04335	0.03531	0.12858	-0.27334	0.03694	-0.13613	-0.29084	-0.152	-0.18446	-0.17012	-0.06532	-0.55833	0.01747	0.11155	-0.14296	-0.05412	-0.00847	-0.29364	-0.13114	0.06597	0.23675	-0.21267	0.15235	0.09077	0.11234	0.31211	0.28716	0.09679	0.1747	0.43904	0.54322	0.24122	0.03823	0.24213	0.24419	0.30184	0.20027	0.24628	0.1857	-0.01232	0.17219	0.14253
TNFAIP8 	-0.00123	-0.31603	-0.6307	-0.48217	-0.54673	0.57589	-0.02	-0.07734	0.17926	-0.33367	0.29185	0.15323	-0.43055	0.3997	-0.64543	-0.05145	-0.03345	0.16443	0.49265	-0.46182	0.04218	-0.24215	0.13373	1.77046	0.95022	0.0584	0.38275	0.21648	0.31719	0.41914	0.09424	0.54248	1.93769	0.70201	0.92906	2.50859	0.97561	1.88597	0.60009	0.70223	1.77888	1.51877	1.26896	2.23147	0.826	0.54927	1.65535	2.07017
PRPF38B 	-0.10098	-0.18611	-0.12253	-0.1692	-0.37431	-0.09433	-0.29437	-0.20359	-0.13951	-0.27193	-0.0543	0.02598	-0.17775	-0.3086	-0.02849	0.03502	-0.16355	0.12154	-0.11368	-0.16287	-0.16975	-0.08393	0.11712	0.21057	0.11321	-0.1047	0.1293	-0.6348	0.47649	-0.04108	-0.05919	0.17134	0.43938	0.14571	0.23659	0.69829	0.03169	0.49167	0.153	0.47616	0.73406	0.1191	0.15953	0.52551	0.17258	0.13824	0.33947	0.46294
CX3CR1 	-0.84379	-1.06023	-0.65747	-0.9182	-0.64913	-0.10071	-1.10849	-0.66323	-1.3416	-0.84158	-1.67376	-0.91331	-1.29431	-0.69397	-1.32397	-1.62236	-1.57004	-0.5863	-0.86832	-1.34998	-1.41469	-1.73969	-0.05132	0.38742	-0.20951	-1.51991	-0.88165	-0.33715	-0.2047	-1.05804	-1.08491	0.35976	1.00854	-0.25593	0.80383	2.47659	0.2257	2.33526	-0.22831	0.98382	0.3883	0.65808	0.57804	1.55324	0.63965	-0.89878	1.05585	1.64075
PPID 	1.78685	1.76149	1.13569	1.06898	0.93045	1.17369	1.50819	1.63776	1.58053	1.64466	1.52313	1.14791	1.38699	1.60241	0.88899	1.42343	1.53818	1.33943	0.73008	1.59762	1.3158	1.47087	1.60853	1.80092	1.91097	1.18068	1.77084	1.51384	1.74455	1.42308	1.74507	2.0882	2.01831	1.96001	1.71437	1.54797	1.98451	1.8543	2.02035	1.63299	1.57574	1.96465	1.67616	1.89189	2.11619	1.85905	1.80625	1.83308
ELOVL6 	-1.36576	-1.23689	-1.35846	-1.29116	-1.89993	-1.60812	-1.6811	-1.67625	-1.43952	-1.51718	-1.42792	-1.48959	-1.29485	-1.50709	-1.62325	-1.32593	-1.33229	-1.32079	-1.43109	-1.38514	-1.48657	-1.5876	-1.69143	-1.16135	-1.60245	-1.0642	-1.07887	-1.44144	-1.26388	-1.55866	-1.55938	-1.26183	-0.85946	-0.91334	-1.28356	-1.17586	-1.13031	-1.05113	-1.00934	-1.41578	-0.7595	-1.02365	-1.21991	-1.10271	-1.20494	-1.27058	-1.05186	-1.17926
YEATS2 	-1.19879	-1.05779	-1.10764	-0.93184	-1.31418	-1.00368	-1.29627	-1.08921	-1.13341	-1.15084	-0.86717	-1.00282	-1.20192	-1.24231	-1.21531	-0.94437	-0.98892	-0.86471	-0.8705	-1.36623	-1.15575	-1.1772	-1.2496	-0.93618	-0.80624	-0.87168	-1.03213	-1.38522	-1.04878	-1.14777	-0.74853	-0.77379	-0.69767	-0.58238	-0.80402	-0.94143	-0.48268	-0.42842	-0.94852	-0.66696	-0.19188	-0.65098	-0.75939	-0.50252	-0.80684	-0.96789	-0.23763	-0.47962
SVIL 	1.61943	1.4733	1.4765	1.20139	1.67648	1.58948	1.63336	1.40727	1.56029	1.7015	1.75861	1.6178	1.27957	1.84234	1.47972	1.5498	1.69703	1.50092	1.69342	1.5134	1.54083	1.57362	1.54917	2.04073	1.96666	1.62979	1.44288	1.53192	1.7865	1.62927	1.76273	1.77022	1.94077	1.72053	1.82257	2.13462	1.9146	2.06081	1.98417	1.54056	1.80749	1.97145	1.84308	1.94768	1.95876	1.77525	2.09438	2.04128
BIRC2 	3.07257	2.9703	3.16341	3.02013	2.93977	3.10841	3.17224	3.04258	3.10124	3.08936	3.09317	3.03696	3.00798	3.13185	2.85081	3.21008	3.00129	2.9864	3.21017	3.10727	3.14374	3.00508	3.21075	3.39267	3.3795	2.82374	3.10353	3.21104	3.52008	3.12235	3.03591	3.34688	3.70883	3.37269	3.2601	3.47163	3.43193	3.3979	3.18844	3.31841	3.40207	3.45772	3.10731	3.61561	3.38652	3.23658	3.34815	3.32988
FZD1 	-0.0408	-0.08859	0.06504	-0.25511	-0.59373	0.36048	-0.07169	-0.08047	-0.03151	-0.24677	-0.15903	0.03641	-0.48567	0.22172	-0.17202	-0.24912	-0.12622	-0.38811	0.38572	0.05082	-0.21495	-0.29661	-0.05811	0.04823	0.1183	-0.20521	-0.3504	0.01201	-0.23928	0.20836	0.0437	0.5213	0.62352	0.69604	0.53609	0.16226	0.15753	0.43247	0.42255	0.07999	-0.26725	0.59495	0.62698	0.30374	0.32564	0.22995	0.29047	0.29382
IL10RB 	-1.21005	-1.30007	-1.30723	-1.52747	-1.52786	-1.00146	-1.22646	-1.08552	-0.98978	-1.19241	-0.8506	-1.03062	-1.09148	-0.86831	-1.31727	-0.9589	-0.92239	-0.9733	-0.98595	-1.25756	-0.99091	-1.13521	-0.80136	-1.05547	-0.805	-0.99752	-0.67551	-0.79236	-0.68401	-1.30043	-1.16427	-0.76724	-0.74653	-0.8076	-0.97734	-0.71151	-0.7639	-0.422	-1.08189	-0.7396	-0.57853	-0.63304	-0.50164	-0.35162	-0.79985	-0.80338	-0.80069	-0.47524
FAM13B 	0.80289	0.68103	0.89883	0.42955	0.04068	0.85507	0.93262	1.00301	1.35777	1.20713	0.94691	0.98533	0.75633	1.19644	1.07233	1.18957	1.12531	1.04202	0.83445	0.51528	0.98677	0.81871	1.2124	0.64979	1.24357	0.87134	1.16216	1.12916	1.46997	1.0205	0.97456	1.44629	1.59967	1.2515	1.73045	2.12846	1.56049	1.73558	0.99079	1.18828	1.43278	1.48798	1.75981	1.8844	1.40181	1.04872	1.33757	1.36756
LUM 	1.58473	1.21677	1.37594	0.45107	-0.10862	2.68308	1.18004	2.22888	2.36743	1.46366	2.71918	2.65277	1.62725	0.59813	2.05051	1.54198	1.10243	2.87267	2.72208	1.01234	2.26294	2.65404	2.55806	2.88049	2.70781	0.9313	2.83367	1.61045	1.65287	1.75276	1.23643	3.10395	4.43225	2.85361	3.61249	3.21197	3.15754	4.26361	3.13939	2.08782	2.20324	3.22931	3.10141	4.43941	2.35542	2.33007	2.86049	3.649
ZNF227 	-1.19494	-1.42298	-1.5455	-1.56999	-2.04079	-1.49841	-1.44393	-1.50143	-1.43855	-1.41799	-1.41086	-1.60241	-1.82212	-1.32557	-1.61794	-1.49716	-1.26204	-1.73737	-1.45545	-1.33902	-1.36613	-1.32292	-1.2919	-1.36682	-1.57976	-1.30319	-1.31394	-1.48035	-1.10887	-1.50638	-1.37281	-1.29055	-1.20695	-1.26058	-1.31396	-1.25249	-1.24023	-1.44866	-0.97534	-0.89062	-0.94894	-1.01785	-0.94264	-0.82998	-1.27113	-1.22134	-1.07369	-0.89701
TMPRSS4 	0.32414	0.40819	0.38877	0.31936	0.53239	0.39295	0.34697	0.27384	0.19933	0.49701	0.12518	0.06252	0.15542	0.17051	0.43585	0.57548	0.30886	0.79869	0.42932	0.04136	0.41665	0.29403	0.95226	0.6523	1.16592	0.12147	0.2548	0.12311	-0.33347	0.41852	0.44921	0.31832	0.9829	0.9278	1.02512	1.5851	1.32964	1.25091	0.593	0.6677	1.29677	0.915	0.74806	1.4408	0.75041	0.54315	1.35831	1.45751
SPRY1 	0.90625	0.83418	0.82685	0.45366	0.27018	1.1324	0.7858	0.68016	0.47192	0.42242	0.80254	0.88312	0.30973	0.74527	0.98923	0.29661	0.80334	0.3662	0.75626	0.8002	0.779	0.78214	0.87261	1.11038	0.86721	0.84998	0.80924	0.86251	1.23982	0.75265	1.04509	0.7769	0.99248	0.9438	1.11996	1.38746	1.34881	1.4658	1.03257	1.07698	1.54113	1.36063	1.3998	1.94009	1.11493	1.10142	1.21167	1.62376
MED20 	0.0265	-0.00216	-0.33202	-0.1342	0.06351	-0.10957	0.0196	-0.03766	0.03761	-0.21861	-0.03015	-0.29144	-0.17335	0.13982	-0.21824	-0.06897	-0.07912	-0.07473	-0.14465	0.181	-0.15515	0.02045	-0.13496	0.13944	0.06944	0.10089	-0.05382	0.08923	0.0653	0.05321	0.04667	0.07162	0.00377	0.38838	0.10957	0.16777	0.27724	0.18393	0.07165	0.31685	0.20876	0.32491	0.15843	0.05644	0.23803	0.03211	0.20244	0.05628
ATF7IP 	0.69497	0.53597	0.27826	0.37019	0.55134	0.64442	0.65884	0.69628	0.88682	0.74517	0.70668	0.57108	0.25374	0.98328	0.71199	0.29228	0.48076	0.17748	0.59239	0.65319	0.33013	0.44185	0.62656	0.69248	0.96454	0.47755	0.92054	0.67307	0.88455	0.85331	0.62496	0.97429	0.97594	0.87026	1.17246	0.92413	1.15934	1.00307	0.83889	0.96064	0.56891	1.19739	1.2624	0.70747	0.92516	0.89299	0.84004	0.78653
PUM1 	2.7135	2.76869	2.61734	2.36805	2.25514	2.94195	2.752	2.88385	2.66626	2.72128	2.74629	2.79457	2.45731	2.98914	2.57151	2.71474	2.76562	2.43482	2.80757	2.77881	2.69566	2.63127	2.98343	2.91438	2.89678	2.58843	2.56369	2.75175	2.98284	2.86814	2.97148	3.09134	2.78212	2.89324	3.0922	3.08886	3.28749	3.05375	2.89314	2.94382	2.86886	3.04832	3.16068	2.84432	2.97974	2.88767	2.9968	2.87742
IKBKB 	-1.19674	-1.2894	-1.41449	-1.21697	-1.52202	-1.26495	-1.28631	-1.27917	-1.34616	-1.35811	-1.31427	-1.28525	-1.32967	-1.26324	-1.49922	-1.3408	-1.19275	-1.36485	-1.14878	-1.17362	-1.20174	-1.29248	-1.28856	-1.24325	-1.17469	-1.35685	-1.1947	-1.23804	-1.17048	-1.32805	-1.30079	-1.07179	-0.9524	-1.17826	-1.16756	-0.97132	-1.18368	-1.05036	-1.19311	-1.15729	-1.20638	-1.09881	-1.3067	-1.04129	-1.15306	-1.20294	-1.08425	-1.14184
ENOX1 	-1.21941	-1.08378	-1.09582	-1.10959	-1.65834	-1.01792	-1.42902	-1.17949	-1.30108	-1.50772	-1.4401	-1.22045	-1.14185	-1.29544	-1.65415	-0.90867	-0.87716	-1.22327	-1.46248	-1.38031	-1.20662	-1.39252	-1.06924	-0.91193	-0.49875	-0.88539	-0.65064	-1.24499	-0.90989	-1.49531	-1.53403	-1.07395	-1.02129	-1.04435	-0.76985	-0.00261	-0.68513	-0.71007	-0.82804	-0.78631	-0.44558	-0.91386	-0.42849	-0.63149	-0.62319	-0.98171	-0.35402	-0.52971
VIM 	3.26344	2.97555	3.23315	2.49324	3.49836	5.00332	3.86959	4.31739	3.89388	3.75582	4.20251	4.44141	3.54222	4.09043	4.26594	3.52933	3.65806	4.06196	4.46439	3.31076	4.16506	3.81426	4.98116	4.44884	4.85838	4.80339	3.93554	4.74847	3.76837	5.1757	4.5315	4.19985	6.25521	5.42269	4.96198	5.69533	4.91708	6.13186	4.6486	4.74277	5.08088	5.17353	4.91554	5.69406	4.15046	4.32556	5.76121	5.5754
HBA2 	1.29445	0.92606	2.11422	1.11305	1.56565	0.55255	0.43066	0.01768	0.44917	2.18396	-0.96948	0.34781	4.29132	-0.71363	0.53218	3.11504	-0.63733	5.70247	-0.5579	-0.48379	-0.20818	0.77554	1.68806	2.67739	4.05182	1.76716	2.12423	1.3193	1.9664	1.52132	1.31806	2.77825	1.86431	3.29662	3.4382	6.97493	6.80126	5.59839	5.30124	2.873	2.20391	3.44371	3.73966	3.39064	2.57319	3.88084	3.80433	5.09478
TNFSF10 	3.62094	3.4931	2.89674	3.6331	3.69045	4.99085	3.91115	3.95617	3.94835	4.30453	3.20156	3.84617	3.48852	4.30238	3.24459	3.67836	3.59214	3.74002	4.08268	3.56819	3.95772	3.57512	4.35442	3.89323	4.66803	3.14378	3.79824	3.84794	3.3782	3.84541	4.24772	4.2038	5.19979	4.51489	3.67969	4.56342	5.59689	5.16026	3.82527	4.65424	5.36689	4.98666	5.02488	4.89439	4.38305	4.43709	5.47111	4.56554
ZNF207 	2.82244	2.61009	2.71135	2.52373	2.54907	2.82406	2.82023	2.61789	2.83128	2.618	2.40307	2.53746	2.4033	2.78118	2.47488	2.63716	2.58301	2.82959	2.70979	2.71566	2.65379	2.6944	2.93288	2.66222	2.72352	2.75126	2.9574	2.99689	2.8896	2.91812	2.55047	2.93275	3.29459	3.06372	2.87957	3.07483	2.99005	3.24579	2.70233	2.91683	3.4769	3.11001	2.81251	3.15033	2.86068	2.85849	3.13059	3.23176
